"Event_Name","Event_ID","Event_Date","Event_Tour_1","Event_Tour_2","Event_Tour_3","Scrape_Date"
"Deutsche Bank Players Champ",3574,2006-07-30,"european_tour",NA,NA,2018-06-05
"US Bank Championship",3575,2006-07-30,"PGA",NA,NA,2018-06-05
"Tournament in Omaezaki",3576,2006-07-30,"JapanGolfTour",NA,NA,2018-06-05
"Preferred Health Systems Wichita O",3577,2006-07-30,"webcom",NA,NA,2018-06-05
"Ryder Cup Wales Challenge",3578,2006-07-30,"european_challenge",NA,NA,2018-06-05
"Buick Open",3579,2006-08-06,"PGA",NA,NA,2018-06-05
"EnterCard Scandinavian Masters",3580,2006-08-06,"european_tour",NA,NA,2018-06-05
"Cox Classic",3581,2006-08-06,"webcom",NA,NA,2018-06-05
"Ireland Ryder Cup Challenge",3582,2006-08-06,"european_challenge",NA,NA,2018-06-05
"Sun Chlorella Classic",3583,2006-08-06,"JapanGolfTour",NA,NA,2018-06-05
"Casino de Montreal Open",3584,2006-08-06,"CAN3",NA,NA,2018-06-05
"The International",3585,2006-08-13,"PGA",NA,NA,2018-06-05
"KLM Open",3586,2006-08-13,"european_tour",NA,NA,2018-06-05
"Xerox Classic",3587,2006-08-13,"webcom",NA,NA,2018-06-05
"Vodafone Challenge",3588,2006-08-13,"european_challenge",NA,NA,2018-06-05
"88th PGA CHAMPIONSHIP",3589,2006-08-20,"Major Combo 2",NA,NA,2018-06-05
"Imperial Collection Russian Open",3590,2006-08-20,"european_tour",NA,NA,2018-06-05
"Northeast Pennsylvania Classic",3591,2006-08-20,"webcom",NA,NA,2018-06-05
"Rolex Trophy",3592,2006-08-20,"european_challenge",NA,NA,2018-06-05
"Crowne Plaza Open",3593,2006-08-20,"Asian Tour 2018",NA,NA,2018-06-05
"WGC - Bridgestone Invitational",3594,2006-08-27,"WGC",NA,NA,2018-06-05
"Reno-Tahoe Open",3595,2006-08-27,"PGA",NA,NA,2018-06-05
"NMA Pete Dye Classic",3596,2006-08-27,"webcom",NA,NA,2018-06-05
"Under Armour KBC Augusta",3597,2006-08-27,"JapanGolfTour",NA,NA,2018-06-05
"Brunei Open",3598,2006-08-27,"Asian Tour 2018",NA,NA,2018-06-05
"ECCO Tour Championship",3599,2006-08-27,"european_challenge",NA,NA,2018-06-05
"Fallsview Casino Resort Pro Am",3600,2006-08-27,"CAN3",NA,NA,2018-06-05
"BMW International Open",3602,2006-09-03,"european_tour",NA,NA,2018-06-05
"Legend Financial Group Classic",3603,2006-09-03,"webcom",NA,NA,2018-06-05
"Fujisankei Classic",3604,2006-09-03,"JapanGolfTour",NA,NA,2018-06-05
"Pulai Springs Malaysian Classic",3605,2006-09-03,"Asian Tour 2018",NA,NA,2018-06-05
"Telia Waxholm Challenge",3606,2006-09-03,"european_challenge",NA,NA,2018-06-05
"Canadian Tour Championship",3607,2006-09-03,"CAN3",NA,NA,2018-06-05
"Deutsche Bank Championship",3608,2006-09-03,"PGA",NA,NA,2018-06-05
"Omega European Masters",3614,2006-09-10,"european_tour",NA,NA,2018-06-05
"Canadian Open",3615,2006-09-10,"PGA",NA,NA,2018-06-05
"Suntory Open",3616,2006-09-10,"JapanGolfTour",NA,NA,2018-06-05
"Barclays Singapore Open",3617,2006-09-10,"Asian Tour 2018",NA,NA,2018-06-05
"Utah Energy Solutions Championship",3618,2006-09-10,"webcom",NA,NA,2018-06-05
"HSBC World Match Play Champ",3619,2006-09-17,"european_tour",NA,NA,2018-06-05
"84 Lumber Classic",3620,2006-09-17,"PGA",NA,NA,2018-06-05
"Open de Madrid",3621,2006-09-17,"european_tour",NA,NA,2018-06-05
"ANA Open",3622,2006-09-17,"JapanGolfTour",NA,NA,2018-06-05
"Albertsons Boise Open",3623,2006-09-17,"webcom",NA,NA,2018-06-05
"Open de Volcans",3624,2006-09-17,"european_challenge",NA,NA,2018-06-05
"Valero Texas Open",3625,2006-09-24,"PGA",NA,NA,2018-06-05
"Acom International",3626,2006-09-24,"JapanGolfTour",NA,NA,2018-06-05
"KOLON-Hana Korea Open",3627,2006-09-24,"Asian Tour 2018",NA,NA,2018-06-05
"Oregon Classic",3628,2006-09-24,"webcom",NA,NA,2018-06-05
"Oki Mahou Challenge de Espana",3629,2006-09-24,"european_challenge",NA,NA,2018-06-05
"WGC-American Express Championship",3630,2006-10-01,"WGC",NA,NA,2018-06-05
"Kazakhstan Open",3631,2006-10-01,"european_challenge",NA,NA,2018-06-05
"Southern Farm Bureau Classic",3632,2006-10-01,"PGA",NA,NA,2018-06-05
"Coca Cola Tokai Classic",3633,2006-10-01,"JapanGolfTour",NA,NA,2018-06-05
"Mercuries Taiwan Masters",3634,2006-10-01,"Asian Tour 2018",NA,NA,2018-06-05
"Alfred Dunhill Links Championship",3635,2006-10-08,"european_tour",NA,NA,2018-06-05
"Chrysler Classic of Greensboro",3636,2006-10-08,"PGA",NA,NA,2018-06-05
"Mark Christopher Charity Classic",3637,2006-10-08,"webcom",NA,NA,2018-06-05
"Golf Open International de Toulouse",3638,2006-10-08,"european_challenge",NA,NA,2018-06-05
"Taiwan Open",3639,2006-10-08,"Asian Tour 2018",NA,NA,2018-06-05
"Frys.com Open",3640,2006-10-15,"PGA",NA,NA,2018-06-05
"Permian Basin Charity Golf Classic",3641,2006-10-15,"webcom",NA,NA,2018-06-05
"Japan Open Golf Championship",3642,2006-10-15,"JapanGolfTour",NA,NA,2018-06-05
"Volkswagen Masters - China",3643,2006-10-15,"Asian Tour 2018",NA,NA,2018-06-05
"Funai Classic",3644,2006-10-22,"PGA",NA,NA,2018-06-05
"Mallorca Classic",3645,2006-10-22,"european_tour",NA,NA,2018-06-05
"Bridgestone Open",3646,2006-10-22,"JapanGolfTour",NA,NA,2018-06-05
"Hero Honda Indian Open",3647,2006-10-22,"Asian Tour 2018",NA,NA,2018-06-05
"PalmettoPride Classic",3648,2006-10-22,"webcom",NA,NA,2018-06-05
"Apulia San Domenico Grand Final",3649,2006-10-22,"european_challenge",NA,NA,2018-06-05
"Chrysler Championship",3650,2006-10-29,"PGA",NA,NA,2018-06-05
"Volvo Masters",3651,2006-10-29,"european_tour",NA,NA,2018-06-05
"ABC Championship",3652,2006-10-29,"JapanGolfTour",NA,NA,2018-06-05
"Miccosukee Championship",3653,2006-10-29,"webcom",NA,NA,2018-06-05
"THE TOUR Championship presented by Coca-Cola",3654,2006-11-05,"PGA",NA,NA,2018-06-05
"Asahiryokuken Yomiuri Memorial",3655,2006-11-05,"JapanGolfTour",NA,NA,2018-06-05
"HSBC Champions",3656,2006-11-12,"sunshine_tour","AUS Logo2","Asian Tour 2018",2018-06-05
"Mitsui Sumitomo VISA Taiheiyo Masters",3657,2006-11-12,"JapanGolfTour",NA,NA,2018-06-05
"Nationwide Tour Championship",3658,2006-11-12,"webcom",NA,NA,2018-06-05
"Dunlop Phoenix Tournament",3659,2006-11-19,"JapanGolfTour",NA,NA,2018-06-05
"UBS Hong Kong Open",3660,2006-11-19,"Asian Tour 2018","european_tour",NA,2018-06-05
"MFS Australian Open",3661,2006-11-19,"AUS Logo2",NA,NA,2018-06-05
"Limpopo Classic",3662,2006-11-19,"sunshine_tour",NA,NA,2018-06-05
"Mastercard Masters",3663,2006-11-26,"AUS Logo2","european_tour",NA,2018-06-05
"Casio World Open",3664,2006-11-26,"JapanGolfTour",NA,NA,2018-06-05
"Nedbank Golf Challenge",3665,2006-12-03,"sunshine_tour",NA,NA,2018-06-05
"Blue Chip New Zealand Open",3666,2006-12-03,"AUS Logo2","european_tour",NA,2018-06-05
"Golf Nippon Series JT Cup",3667,2006-12-03,"JapanGolfTour",NA,NA,2018-06-05
"Abierto Visa de la Republica",3668,2006-12-03,"european_challenge",NA,NA,2018-06-05
"CS Australian PGA Championship",3669,2006-12-10,"AUS Logo2",NA,NA,2018-06-05
"Alfred Dunhill Championship",3670,2006-12-10,"sunshine_tour","european_tour",NA,2018-06-05
"Abierto Mexicano Corona",3671,2006-12-10,"european_challenge",NA,NA,2018-06-05
"South African Airways Open",3672,2006-12-17,"sunshine_tour",NA,NA,2018-06-05
"Volvo Masters of Asia",3673,2006-12-17,"Asian Tour 2018",NA,NA,2018-06-05
"Mercedes-Benz Championship",3674,2007-01-07,"PGA",NA,NA,2018-06-05
"Sony Open in Hawaii",3675,2007-01-14,"PGA",NA,NA,2018-06-05
"Joburg Open",3676,2007-01-14,"sunshine_tour","european_tour",NA,2018-06-05
"Bob Hope Chrysler Classic",3677,2007-01-21,"PGA",NA,NA,2018-06-05
"Abu Dhabi Championship",3678,2007-01-21,"european_tour",NA,NA,2018-06-05
"Pakistan Open",3679,2007-01-21,"Asian Tour 2018",NA,NA,2018-06-05
"Commercialbank Qatar Masters",3680,2007-01-28,"Asian Tour 2018","european_tour",NA,2018-06-05
"Buick Invitational",3681,2007-01-28,"PGA",NA,NA,2018-06-05
"Dimension Data Pro-Am",3682,2007-01-28,"sunshine_tour",NA,NA,2018-06-05
"Movistar Panama Championship",3683,2007-01-28,"webcom",NA,NA,2018-06-05
"FBR Open",3684,2007-02-04,"PGA",NA,NA,2018-06-05
"Dubai Desert Classic",3685,2007-02-04,"european_tour",NA,NA,2018-06-05
"Club Colombia Masters",3686,2007-02-04,"european_challenge",NA,NA,2018-06-05
"Nashua Masters",3687,2007-02-04,"sunshine_tour",NA,NA,2018-06-05
"Philippine Open",3688,2007-02-04,"Asian Tour 2018",NA,NA,2018-06-05
"Maybank Malaysian Open",3689,2007-02-11,"Asian Tour 2018","european_tour",NA,2018-06-05
"AT&T Pebble Beach National Pro-Am",3690,2007-02-11,"PGA",NA,NA,2018-06-05
"Kai Fieberg Costa Rica Open",3691,2007-02-11,"european_challenge",NA,NA,2018-06-05
"Nissan Open",3692,2007-02-18,"PGA",NA,NA,2018-06-05
"Abierto Telefonica de Guatemala",3693,2007-02-18,"european_challenge",NA,NA,2018-06-05
"Enjoy Jakarta Astro Indonesia Open",3694,2007-02-18,"Asian Tour 2018","european_tour",NA,2018-06-05
"Jacob's Creek Open",3695,2007-02-18,"AUS Logo2","webcom",NA,2018-06-05
"Vodacom Championship",3696,2007-02-18,"sunshine_tour",NA,NA,2018-06-05
"WGC-Accenture Match Play Championship",3697,2007-02-25,"WGC",NA,NA,2018-06-05
"Mayakoba Golf Classic",3698,2007-02-25,"PGA",NA,NA,2018-06-05
"HSBC New Zealand PGA Championship",3699,2007-02-25,"AUS Logo2","webcom",NA,2018-06-05
"Telkom PGA Championship",3700,2007-02-25,"sunshine_tour",NA,NA,2018-06-05
"Honda Classic",3701,2007-03-04,"PGA",NA,NA,2018-06-05
"Johnnie Walker Classic",3702,2007-03-04,"AUS Logo2","Asian Tour 2018","european_tour",2018-06-05
"PODS Championship",3703,2007-03-11,"PGA",NA,NA,2018-06-05
"Clariden Leu Singapore Masters",3704,2007-03-11,"Asian Tour 2018","european_tour",NA,2018-06-05
"Tusker Kenya Open",3705,2007-03-11,"european_challenge",NA,NA,2018-06-05
"Arnold Palmer Invitational ",3706,2007-03-18,"PGA",NA,NA,2018-06-05
"TCL Classic",3707,2007-03-18,"Asian Tour 2018","european_tour",NA,2018-06-05
"WGC - CA Championship",3708,2007-03-25,"WGC",NA,NA,2018-06-05
"Chitimacha Louisiana Open",3709,2007-03-25,"webcom",NA,NA,2018-06-05
"Motorola International Bintan",3710,2007-03-25,"Asian Tour 2018",NA,NA,2018-06-05
"Madeira Islands Open BPI",3711,2007-03-25,"european_tour",NA,NA,2018-06-05
"Shell Houston Open",3712,2007-04-01,"PGA",NA,NA,2018-06-05
"Estoril Open de Portugal",3713,2007-04-01,"european_tour",NA,NA,2018-06-05
"Livermore Valley Wine Country Championship",3714,2007-04-01,"webcom",NA,NA,2018-06-05
"MASTERS TOURNAMENT",3715,2007-04-08,"Major Combo 2",NA,NA,2018-06-05
"Verizon Heritage",3716,2007-04-15,"PGA",NA,NA,2018-06-05
"South Georgia Classic",3717,2007-04-15,"webcom",NA,NA,2018-06-05
"Volvo China Open",3719,2007-04-15,"Asian Tour 2018","european_tour",NA,2018-06-05
"Token Homemate Cup",3720,2007-04-15,"JapanGolfTour",NA,NA,2018-06-05
"San Jose International Open",3721,2007-04-15,"CAN3",NA,NA,2018-06-05
"Zurich Classic of New Orleans",3722,2007-04-22,"PGA",NA,NA,2018-06-05
"Athens Regional Foundation Classic",3723,2007-04-22,"webcom",NA,NA,2018-06-05
"BMW Asian Open",3724,2007-04-22,"Asian Tour 2018","european_tour",NA,2018-06-05
"Tessali-Metaponto Open di Puglia e Basilicata",3725,2007-04-22,"european_challenge",NA,NA,2018-06-05
"Tsuruya Open",3726,2007-04-22,"JapanGolfTour",NA,NA,2018-06-05
"Northern California Classic",3727,2007-04-22,"CAN3",NA,NA,2018-06-05
"EDS Byron Nelson Championship",3728,2007-04-29,"PGA",NA,NA,2018-06-05
"Henrico County Open",3729,2007-04-29,"webcom",NA,NA,2018-06-05
"Open de Espana",3730,2007-04-29,"european_tour",NA,NA,2018-06-05
"The Crowns",3731,2007-04-29,"JapanGolfTour",NA,NA,2018-06-05
"Pine Valley Beijing Open",3732,2007-04-29,"Asian Tour 2018",NA,NA,2018-06-05
"Corona Mazatlan Classic",3733,2007-04-29,"CAN3",NA,NA,2018-06-05
"Wachovia Championship",3734,2007-05-06,"PGA",NA,NA,2018-06-05
"Fort Smith Classic",3735,2007-05-06,"webcom",NA,NA,2018-06-05
"Telecom Italia Open",3736,2007-05-06,"european_tour",NA,NA,2018-06-05
"GS Caltex Maekyung Open",3737,2007-05-06,"Asian Tour 2018",NA,NA,2018-06-05
"Ford Culiacan Open",3738,2007-05-06,"CAN3",NA,NA,2018-06-05
"THE PLAYERS Championship",3739,2007-05-13,"PGA",NA,NA,2018-06-05
"Valle Romano Open de Andalucia",3740,2007-05-13,"european_tour",NA,NA,2018-06-05
"A.G.F. Allianz Golf Open de Toulouse",3741,2007-05-13,"european_challenge",NA,NA,2018-06-05
"Japan PGA Championship",3742,2007-05-13,"JapanGolfTour",NA,NA,2018-06-05
"Riviera Nayarit Classic",3743,2007-05-13,"CAN3",NA,NA,2018-06-05
"AT&T Classic",3744,2007-05-20,"PGA",NA,NA,2018-06-05
"BMW Charity Pro-Am at The Cliffs",3745,2007-05-20,"webcom",NA,NA,2018-06-05
"Irish Open",3746,2007-05-20,"european_tour",NA,NA,2018-06-05
"Telenet Trophy",3747,2007-05-20,"european_challenge",NA,NA,2018-06-05
"Munsingwear Open KSB Cup",3748,2007-05-20,"JapanGolfTour",NA,NA,2018-06-05
"Macau Open",3749,2007-05-20,"Asian Tour 2018",NA,NA,2018-06-05
"Iberostar Riviera Maya Open",3750,2007-05-20,"CAN3",NA,NA,2018-06-05
"BMW PGA Championship",3751,2007-05-27,"european_tour",NA,NA,2018-06-05
"Crowne Plaza Invitational at Colonial",3752,2007-05-27,"PGA",NA,NA,2018-06-05
"Mitsubishi Diamond Cup",3753,2007-05-27,"JapanGolfTour",NA,NA,2018-06-05
"Melwood Prince George's County Open",3754,2007-05-27,"webcom",NA,NA,2018-06-05
"Open Mahou de Madrid",3755,2007-05-27,"european_challenge",NA,NA,2018-06-05
"SK Telecom Open",3756,2007-05-27,"Asian Tour 2018",NA,NA,2018-06-05
"the Memorial Tournament",3757,2007-06-03,"PGA",NA,NA,2018-06-05
"LaSalle Bank Open",3758,2007-06-03,"webcom",NA,NA,2018-06-05
"The Celtic Manor Wales Open",3759,2007-06-03,"european_tour",NA,NA,2018-06-05
"Oceanico Developments Pro-Am Challenge",3760,2007-06-03,"european_challenge",NA,NA,2018-06-05
"JCB Classic",3761,2007-06-03,"JapanGolfTour",NA,NA,2018-06-05
"Stanford St. Jude Championship",3762,2007-06-10,"PGA",NA,NA,2018-06-05
"The Rex Hospital Open",3763,2007-06-10,"webcom",NA,NA,2018-06-05
"BA-CA Golf Open Presented by Telekom Austria ",3764,2007-06-10,"european_tour",NA,NA,2018-06-05
"Vodafone Challenge",3765,2007-06-10,"european_challenge",NA,NA,2018-06-05
"Bangkok Airways Open",3766,2007-06-10,"Asian Tour 2018",NA,NA,2018-06-05
"US OPEN CHAMPIONSHIP",3767,2007-06-17,"Major Combo 2",NA,NA,2018-06-05
"Rochester Area Charities Showdown",3768,2007-06-17,"webcom",NA,NA,2018-06-05
"Open De Saint-Omer",3769,2007-06-17,"european_challenge","european_tour",NA,2018-06-05
"Times Colonist Open",3770,2007-06-17,"CAN3",NA,NA,2018-06-05
"Travelers Championship",3771,2007-06-24,"PGA",NA,NA,2018-06-05
"Knoxville Open Presented by Food City",3772,2007-06-24,"webcom",NA,NA,2018-06-05
"BMW International Open",3773,2007-06-24,"european_tour",NA,NA,2018-06-05
"Credit Suisse Challenge",3774,2007-06-24,"european_challenge",NA,NA,2018-06-05
"Mizuno Open Yomiuri Classic",3775,2007-06-24,"JapanGolfTour",NA,NA,2018-06-05
"Greater Vancouver Charity Classic",3776,2007-06-24,"CAN3",NA,NA,2018-06-05
"Buick Open",3777,2007-07-01,"PGA",NA,NA,2018-06-05
"Peek'n Peak Classic",3778,2007-07-01,"webcom",NA,NA,2018-06-05
"Open de France ALSTOM",3779,2007-07-01,"european_tour",NA,NA,2018-06-05
"Estoril Challenge de Portugal",3781,2007-07-01,"european_challenge",NA,NA,2018-06-05
"UBS Japan Golf Tour Championship",3782,2007-07-01,"JapanGolfTour",NA,NA,2018-06-05
"ATB Financial Classic",3783,2007-07-01,"CAN3",NA,NA,2018-06-05
"AT&T National",3784,2007-07-08,"PGA",NA,NA,2018-06-05
"Legend Financial Group Classic",3785,2007-07-08,"webcom",NA,NA,2018-06-05
