"Event_ID","Status_Scrape","Scrape_Date","Event_Name","Event_Date"
3549,"No Tournament Scores Available",2018-06-05,"Johnnie Walker Championship",2006-06-25
3550,"No Tournament Scores Available",2018-06-05,"Mizuno Open",2006-06-25
3551,"No Tournament Scores Available",2018-06-05,"Chattanooga Clasic",2006-06-25
3552,"No Tournament Scores Available",2018-06-05,"Credit Suisse Challenge",2006-06-25
3553,"No Tournament Scores Available",2018-06-05,"Times Colonist Open",2006-06-25
3554,"No Tournament Scores Available",2018-06-05,"Buick Championship",2006-07-02
3555,"No Tournament Scores Available",2018-06-05,"Open de France ALSTOM",2006-07-02
3556,"No Tournament Scores Available",2018-06-05,"UBS Japan Golf Tour Championship",2006-07-02
3557,"No Tournament Scores Available",2018-06-05,"Peek'n Peak Classic",2006-07-02
3558,"No Tournament Scores Available",2018-06-05,"Open Mahou de Madrid",2006-07-02
3559,"No Tournament Scores Available",2018-06-05,"Telus Edmonton Open",2006-07-02
3560,"No Tournament Scores Available",2018-06-05,"Cialis Western Open",2006-07-09
3561,"No Tournament Scores Available",2018-06-05,"Smurfit Kappa European Open",2006-07-09
3562,"No Tournament Scores Available",2018-06-05,"Woodone Open Hiroshima",2006-07-09
3563,"No Tournament Scores Available",2018-06-05,"Scottish Challenge",2006-07-09
3564,"No Tournament Scores Available",2018-06-05,"Barclays Scottish Open",2006-07-16
3565,"No Tournament Scores Available",2018-06-05,"John Deere Classic",2006-07-16
3566,"No Tournament Scores Available",2018-06-05,"Scholarship America Showdown",2006-07-16
3567,"No Tournament Scores Available",2018-06-05,"Texbond Open",2006-07-16
3568,"No Tournament Scores Available",2018-06-05,"MTS Classic",2006-07-16
3569,"No Tournament Scores Available",2018-06-05,"THE OPEN CHAMPIONSHIP",2006-07-23
3570,"No Tournament Scores Available",2018-06-05,"B.C. Open",2006-07-23
3571,"No Tournament Scores Available",2018-06-05,"Sega Sammy Cup",2006-07-23
3572,"No Tournament Scores Available",2018-06-05,"Price Cutter Charity Champs",2006-07-23
3573,"No Tournament Scores Available",2018-06-05,"Man No Open",2006-07-23
3574,"No Tournament Scores Available",2018-06-05,"Deutsche Bank Players Champ",2006-07-30
3575,"No Tournament Scores Available",2018-06-05,"US Bank Championship",2006-07-30
3576,"No Tournament Scores Available",2018-06-05,"Tournament in Omaezaki",2006-07-30
3577,"No Tournament Scores Available",2018-06-05,"Preferred Health Systems Wichita O",2006-07-30
3578,"No Tournament Scores Available",2018-06-05,"Ryder Cup Wales Challenge",2006-07-30
3579,"No Tournament Scores Available",2018-06-05,"Buick Open",2006-08-06
3580,"No Tournament Scores Available",2018-06-05,"EnterCard Scandinavian Masters",2006-08-06
3581,"No Tournament Scores Available",2018-06-05,"Cox Classic",2006-08-06
3582,"No Tournament Scores Available",2018-06-05,"Ireland Ryder Cup Challenge",2006-08-06
3583,"No Tournament Scores Available",2018-06-05,"Sun Chlorella Classic",2006-08-06
3584,"No Tournament Scores Available",2018-06-05,"Casino de Montreal Open",2006-08-06
3585,"No Tournament Scores Available",2018-06-05,"The International",2006-08-13
3586,"No Tournament Scores Available",2018-06-05,"KLM Open",2006-08-13
3587,"No Tournament Scores Available",2018-06-05,"Xerox Classic",2006-08-13
3588,"No Tournament Scores Available",2018-06-05,"Vodafone Challenge",2006-08-13
3589,"No Tournament Scores Available",2018-06-05,"88th PGA CHAMPIONSHIP",2006-08-20
3590,"No Tournament Scores Available",2018-06-05,"Imperial Collection Russian Open",2006-08-20
3591,"No Tournament Scores Available",2018-06-05,"Northeast Pennsylvania Classic",2006-08-20
3592,"No Tournament Scores Available",2018-06-05,"Rolex Trophy",2006-08-20
3593,"No Tournament Scores Available",2018-06-05,"Crowne Plaza Open",2006-08-20
3594,"No Tournament Scores Available",2018-06-05,"WGC - Bridgestone Invitational",2006-08-27
3595,"No Tournament Scores Available",2018-06-05,"Reno-Tahoe Open",2006-08-27
3596,"No Tournament Scores Available",2018-06-05,"NMA Pete Dye Classic",2006-08-27
3597,"No Tournament Scores Available",2018-06-05,"Under Armour KBC Augusta",2006-08-27
3598,"No Tournament Scores Available",2018-06-05,"Brunei Open",2006-08-27
3599,"Tournament Results Collected",2018-06-05,"ECCO Tour Championship",2006-08-27
3600,"Tournament Results Collected",2018-06-05,"Fallsview Casino Resort Pro Am",2006-08-27
3601,"Tournament ID Not Valid",2018-06-05,NA,NA
3602,"Tournament Results Collected",2018-06-05,"BMW International Open",2006-09-03
3603,"Tournament Results Collected",2018-06-05,"Legend Financial Group Classic",2006-09-03
3604,"No Tournament Scores Available",2018-06-05,"Fujisankei Classic",2006-09-03
3605,"No Tournament Scores Available",2018-06-05,"Pulai Springs Malaysian Classic",2006-09-03
3606,"Tournament Results Collected",2018-06-05,"Telia Waxholm Challenge",2006-09-03
3607,"No Tournament Scores Available",2018-06-05,"Canadian Tour Championship",2006-09-03
3608,"Tournament Results Collected",2018-06-05,"Deutsche Bank Championship",2006-09-03
3609,"Tournament ID Not Valid",2018-06-05,NA,NA
3610,"Tournament ID Not Valid",2018-06-05,NA,NA
3611,"Tournament ID Not Valid",2018-06-05,NA,NA
3612,"Tournament ID Not Valid",2018-06-05,NA,NA
3613,"Tournament ID Not Valid",2018-06-05,NA,NA
3614,"No Tournament Scores Available",2018-06-05,"Omega European Masters",2006-09-10
3615,"No Tournament Scores Available",2018-06-05,"Canadian Open",2006-09-10
3616,"No Tournament Scores Available",2018-06-05,"Suntory Open",2006-09-10
3617,"No Tournament Scores Available",2018-06-05,"Barclays Singapore Open",2006-09-10
3618,"No Tournament Scores Available",2018-06-05,"Utah Energy Solutions Championship",2006-09-10
3619,"No Tournament Scores Available",2018-06-05,"HSBC World Match Play Champ",2006-09-17
3620,"No Tournament Scores Available",2018-06-05,"84 Lumber Classic",2006-09-17
3621,"No Tournament Scores Available",2018-06-05,"Open de Madrid",2006-09-17
3622,"No Tournament Scores Available",2018-06-05,"ANA Open",2006-09-17
3623,"No Tournament Scores Available",2018-06-05,"Albertsons Boise Open",2006-09-17
3624,"No Tournament Scores Available",2018-06-05,"Open de Volcans",2006-09-17
3625,"No Tournament Scores Available",2018-06-05,"Valero Texas Open",2006-09-24
3626,"No Tournament Scores Available",2018-06-05,"Acom International",2006-09-24
3627,"No Tournament Scores Available",2018-06-05,"KOLON-Hana Korea Open",2006-09-24
3628,"No Tournament Scores Available",2018-06-05,"Oregon Classic",2006-09-24
3629,"No Tournament Scores Available",2018-06-05,"Oki Mahou Challenge de Espana",2006-09-24
3630,"Tournament Results Collected",2018-06-05,"WGC-American Express Championship",2006-10-01
3631,"No Tournament Scores Available",2018-06-05,"Kazakhstan Open",2006-10-01
3632,"Tournament Results Collected",2018-06-05,"Southern Farm Bureau Classic",2006-10-01
3633,"No Tournament Scores Available",2018-06-05,"Coca Cola Tokai Classic",2006-10-01
3634,"No Tournament Scores Available",2018-06-05,"Mercuries Taiwan Masters",2006-10-01
3635,"Tournament Results Collected",2018-06-05,"Alfred Dunhill Links Championship",2006-10-08
3636,"Tournament Results Collected",2018-06-05,"Chrysler Classic of Greensboro",2006-10-08
3637,"Tournament Results Collected",2018-06-05,"Mark Christopher Charity Classic",2006-10-08
3638,"Tournament Results Collected",2018-06-05,"Golf Open International de Toulouse",2006-10-08
3639,"No Tournament Scores Available",2018-06-05,"Taiwan Open",2006-10-08
3640,"Tournament Results Collected",2018-06-05,"Frys.com Open",2006-10-15
3641,"Tournament Results Collected",2018-06-05,"Permian Basin Charity Golf Classic",2006-10-15
3642,"No Tournament Scores Available",2018-06-05,"Japan Open Golf Championship",2006-10-15
3643,"No Tournament Scores Available",2018-06-05,"Volkswagen Masters - China",2006-10-15
3644,"Tournament Results Collected",2018-06-05,"Funai Classic",2006-10-22
3645,"No Tournament Scores Available",2018-06-05,"Mallorca Classic",2006-10-22
3646,"No Tournament Scores Available",2018-06-05,"Bridgestone Open",2006-10-22
3647,"No Tournament Scores Available",2018-06-05,"Hero Honda Indian Open",2006-10-22
3648,"Tournament Results Collected",2018-06-05,"PalmettoPride Classic",2006-10-22
3649,"No Tournament Scores Available",2018-06-05,"Apulia San Domenico Grand Final",2006-10-22
3650,"Tournament Results Collected",2018-06-05,"Chrysler Championship",2006-10-29
3651,"No Tournament Scores Available",2018-06-05,"Volvo Masters",2006-10-29
3652,"No Tournament Scores Available",2018-06-05,"ABC Championship",2006-10-29
3653,"Tournament Results Collected",2018-06-05,"Miccosukee Championship",2006-10-29
3654,"Tournament Results Collected",2018-06-05,"THE TOUR Championship presented by Coca-Cola",2006-11-05
3655,"Tournament Results Collected",2018-06-05,"Asahiryokuken Yomiuri Memorial",2006-11-05
3656,"Tournament Results Collected",2018-06-05,"HSBC Champions",2006-11-12
3657,"Tournament Results Collected",2018-06-05,"Mitsui Sumitomo VISA Taiheiyo Masters",2006-11-12
3658,"Tournament Results Collected",2018-06-05,"Nationwide Tour Championship",2006-11-12
3659,"Tournament Results Collected",2018-06-05,"Dunlop Phoenix Tournament",2006-11-19
3660,"Tournament Results Collected",2018-06-05,"UBS Hong Kong Open",2006-11-19
3661,"Tournament Results Collected",2018-06-05,"MFS Australian Open",2006-11-19
3662,"Tournament Results Collected",2018-06-05,"Limpopo Classic",2006-11-19
3663,"Tournament Results Collected",2018-06-05,"Mastercard Masters",2006-11-26
3664,"Tournament Results Collected",2018-06-05,"Casio World Open",2006-11-26
3665,"Tournament Results Collected",2018-06-05,"Nedbank Golf Challenge",2006-12-03
3666,"Tournament Results Collected",2018-06-05,"Blue Chip New Zealand Open",2006-12-03
3667,"Tournament Results Collected",2018-06-05,"Golf Nippon Series JT Cup",2006-12-03
3668,"Tournament Results Collected",2018-06-05,"Abierto Visa de la Republica",2006-12-03
3669,"Tournament Results Collected",2018-06-05,"CS Australian PGA Championship",2006-12-10
3670,"Tournament Results Collected",2018-06-05,"Alfred Dunhill Championship",2006-12-10
3671,"Tournament Results Collected",2018-06-05,"Abierto Mexicano Corona",2006-12-10
3672,"Tournament Results Collected",2018-06-05,"South African Airways Open",2006-12-17
3673,"Tournament Results Collected",2018-06-05,"Volvo Masters of Asia",2006-12-17
3674,"Tournament Results Collected",2018-06-05,"Mercedes-Benz Championship",2007-01-07
3675,"Tournament Results Collected",2018-06-05,"Sony Open in Hawaii",2007-01-14
3676,"Tournament Results Collected",2018-06-05,"Joburg Open",2007-01-14
3677,"Tournament Results Collected",2018-06-05,"Bob Hope Chrysler Classic",2007-01-21
3678,"Tournament Results Collected",2018-06-05,"Abu Dhabi Championship",2007-01-21
3679,"Tournament Results Collected",2018-06-05,"Pakistan Open",2007-01-21
3680,"Tournament Results Collected",2018-06-05,"Commercialbank Qatar Masters",2007-01-28
3681,"Tournament Results Collected",2018-06-05,"Buick Invitational",2007-01-28
3682,"Tournament Results Collected",2018-06-05,"Dimension Data Pro-Am",2007-01-28
3683,"Tournament Results Collected",2018-06-05,"Movistar Panama Championship",2007-01-28
3684,"Tournament Results Collected",2018-06-05,"FBR Open",2007-02-04
3685,"Tournament Results Collected",2018-06-05,"Dubai Desert Classic",2007-02-04
3686,"Tournament Results Collected",2018-06-05,"Club Colombia Masters",2007-02-04
3687,"Tournament Results Collected",2018-06-05,"Nashua Masters",2007-02-04
3688,"Tournament Results Collected",2018-06-05,"Philippine Open",2007-02-04
3689,"Tournament Results Collected",2018-06-05,"Maybank Malaysian Open",2007-02-11
3690,"Tournament Results Collected",2018-06-05,"AT&T Pebble Beach National Pro-Am",2007-02-11
3691,"Tournament Results Collected",2018-06-05,"Kai Fieberg Costa Rica Open",2007-02-11
3692,"Tournament Results Collected",2018-06-05,"Nissan Open",2007-02-18
3693,"Tournament Results Collected",2018-06-05,"Abierto Telefonica de Guatemala",2007-02-18
3694,"Tournament Results Collected",2018-06-05,"Enjoy Jakarta Astro Indonesia Open",2007-02-18
3695,"Tournament Results Collected",2018-06-05,"Jacob's Creek Open",2007-02-18
3696,"Tournament Results Collected",2018-06-05,"Vodacom Championship",2007-02-18
3697,"No Tournament Scores Available",2018-06-05,"WGC-Accenture Match Play Championship",2007-02-25
3698,"Tournament Results Collected",2018-06-05,"Mayakoba Golf Classic",2007-02-25
3699,"Tournament Results Collected",2018-06-05,"HSBC New Zealand PGA Championship",2007-02-25
3700,"Tournament Results Collected",2018-06-05,"Telkom PGA Championship",2007-02-25
3701,"Tournament Results Collected",2018-06-05,"Honda Classic",2007-03-04
3702,"Tournament Results Collected",2018-06-05,"Johnnie Walker Classic",2007-03-04
3703,"Tournament Results Collected",2018-06-05,"PODS Championship",2007-03-11
3704,"Tournament Results Collected",2018-06-05,"Clariden Leu Singapore Masters",2007-03-11
3705,"Tournament Results Collected",2018-06-05,"Tusker Kenya Open",2007-03-11
3706,"Tournament Results Collected",2018-06-05,"Arnold Palmer Invitational ",2007-03-18
3707,"Tournament Results Collected",2018-06-05,"TCL Classic",2007-03-18
3708,"Tournament Results Collected",2018-06-05,"WGC - CA Championship",2007-03-25
3709,"Tournament Results Collected",2018-06-05,"Chitimacha Louisiana Open",2007-03-25
3710,"Tournament Results Collected",2018-06-05,"Motorola International Bintan",2007-03-25
3711,"Tournament Results Collected",2018-06-05,"Madeira Islands Open BPI",2007-03-25
3712,"Tournament Results Collected",2018-06-05,"Shell Houston Open",2007-04-01
3713,"Tournament Results Collected",2018-06-05,"Estoril Open de Portugal",2007-04-01
3714,"Tournament Results Collected",2018-06-05,"Livermore Valley Wine Country Championship",2007-04-01
3715,"Tournament Results Collected",2018-06-05,"MASTERS TOURNAMENT",2007-04-08
3716,"Tournament Results Collected",2018-06-05,"Verizon Heritage",2007-04-15
3717,"Tournament Results Collected",2018-06-05,"South Georgia Classic",2007-04-15
3718,"Tournament ID Not Valid",2018-06-05,NA,NA
3719,"Tournament Results Collected",2018-06-05,"Volvo China Open",2007-04-15
3720,"Tournament Results Collected",2018-06-05,"Token Homemate Cup",2007-04-15
3721,"Tournament Results Collected",2018-06-05,"San Jose International Open",2007-04-15
3722,"Tournament Results Collected",2018-06-05,"Zurich Classic of New Orleans",2007-04-22
3723,"Tournament Results Collected",2018-06-05,"Athens Regional Foundation Classic",2007-04-22
3724,"Tournament Results Collected",2018-06-05,"BMW Asian Open",2007-04-22
3725,"Tournament Results Collected",2018-06-05,"Tessali-Metaponto Open di Puglia e Basilicata",2007-04-22
3726,"Tournament Results Collected",2018-06-05,"Tsuruya Open",2007-04-22
3727,"Tournament Results Collected",2018-06-05,"Northern California Classic",2007-04-22
3728,"Tournament Results Collected",2018-06-05,"EDS Byron Nelson Championship",2007-04-29
3729,"Tournament Results Collected",2018-06-05,"Henrico County Open",2007-04-29
3730,"Tournament Results Collected",2018-06-05,"Open de Espana",2007-04-29
3731,"Tournament Results Collected",2018-06-05,"The Crowns",2007-04-29
3732,"Tournament Results Collected",2018-06-05,"Pine Valley Beijing Open",2007-04-29
3733,"Tournament Results Collected",2018-06-05,"Corona Mazatlan Classic",2007-04-29
3734,"Tournament Results Collected",2018-06-05,"Wachovia Championship",2007-05-06
3735,"Tournament Results Collected",2018-06-05,"Fort Smith Classic",2007-05-06
3736,"Tournament Results Collected",2018-06-05,"Telecom Italia Open",2007-05-06
3737,"Tournament Results Collected",2018-06-05,"GS Caltex Maekyung Open",2007-05-06
3738,"Tournament Results Collected",2018-06-05,"Ford Culiacan Open",2007-05-06
3739,"Tournament Results Collected",2018-06-05,"THE PLAYERS Championship",2007-05-13
3740,"Tournament Results Collected",2018-06-05,"Valle Romano Open de Andalucia",2007-05-13
3741,"Tournament Results Collected",2018-06-05,"A.G.F. Allianz Golf Open de Toulouse",2007-05-13
3742,"Tournament Results Collected",2018-06-05,"Japan PGA Championship",2007-05-13
3743,"Tournament Results Collected",2018-06-05,"Riviera Nayarit Classic",2007-05-13
3744,"Tournament Results Collected",2018-06-05,"AT&T Classic",2007-05-20
3745,"Tournament Results Collected",2018-06-05,"BMW Charity Pro-Am at The Cliffs",2007-05-20
3746,"Tournament Results Collected",2018-06-05,"Irish Open",2007-05-20
3747,"Tournament Results Collected",2018-06-05,"Telenet Trophy",2007-05-20
3748,"Tournament Results Collected",2018-06-05,"Munsingwear Open KSB Cup",2007-05-20
3749,"Tournament Results Collected",2018-06-05,"Macau Open",2007-05-20
3750,"Tournament Results Collected",2018-06-05,"Iberostar Riviera Maya Open",2007-05-20
3751,"Tournament Results Collected",2018-06-05,"BMW PGA Championship",2007-05-27
3752,"Tournament Results Collected",2018-06-05,"Crowne Plaza Invitational at Colonial",2007-05-27
3753,"Tournament Results Collected",2018-06-05,"Mitsubishi Diamond Cup",2007-05-27
3754,"Tournament Results Collected",2018-06-05,"Melwood Prince George's County Open",2007-05-27
3755,"Tournament Results Collected",2018-06-05,"Open Mahou de Madrid",2007-05-27
3756,"Tournament Results Collected",2018-06-05,"SK Telecom Open",2007-05-27
3757,"Tournament Results Collected",2018-06-05,"the Memorial Tournament",2007-06-03
3758,"Tournament Results Collected",2018-06-05,"LaSalle Bank Open",2007-06-03
3759,"Tournament Results Collected",2018-06-05,"The Celtic Manor Wales Open",2007-06-03
3760,"Tournament Results Collected",2018-06-05,"Oceanico Developments Pro-Am Challenge",2007-06-03
3761,"Tournament Results Collected",2018-06-05,"JCB Classic",2007-06-03
3762,"Tournament Results Collected",2018-06-05,"Stanford St. Jude Championship",2007-06-10
3763,"Tournament Results Collected",2018-06-05,"The Rex Hospital Open",2007-06-10
3764,"Tournament Results Collected",2018-06-05,"BA-CA Golf Open Presented by Telekom Austria ",2007-06-10
3765,"Tournament Results Collected",2018-06-05,"Vodafone Challenge",2007-06-10
3766,"Tournament Results Collected",2018-06-05,"Bangkok Airways Open",2007-06-10
3767,"Tournament Results Collected",2018-06-05,"US OPEN CHAMPIONSHIP",2007-06-17
3768,"Tournament Results Collected",2018-06-05,"Rochester Area Charities Showdown",2007-06-17
3769,"Tournament Results Collected",2018-06-05,"Open De Saint-Omer",2007-06-17
3770,"Tournament Results Collected",2018-06-05,"Times Colonist Open",2007-06-17
3771,"Tournament Results Collected",2018-06-05,"Travelers Championship",2007-06-24
3772,"Tournament Results Collected",2018-06-05,"Knoxville Open Presented by Food City",2007-06-24
3773,"Tournament Results Collected",2018-06-05,"BMW International Open",2007-06-24
3774,"Tournament Results Collected",2018-06-05,"Credit Suisse Challenge",2007-06-24
3775,"Tournament Results Collected",2018-06-05,"Mizuno Open Yomiuri Classic",2007-06-24
3776,"Tournament Results Collected",2018-06-05,"Greater Vancouver Charity Classic",2007-06-24
3777,"Tournament Results Collected",2018-06-05,"Buick Open",2007-07-01
3778,"Tournament Results Collected",2018-06-05,"Peek'n Peak Classic",2007-07-01
3779,"Tournament Results Collected",2018-06-05,"Open de France ALSTOM",2007-07-01
3780,"Tournament ID Not Valid",2018-06-05,NA,NA
3781,"Tournament Results Collected",2018-06-05,"Estoril Challenge de Portugal",2007-07-01
3782,"Tournament Results Collected",2018-06-05,"UBS Japan Golf Tour Championship",2007-07-01
3783,"Tournament Results Collected",2018-06-05,"ATB Financial Classic",2007-07-01
3784,"Tournament Results Collected",2018-06-05,"AT&T National",2007-07-08
3785,"Tournament Results Collected",2018-06-05,"Legend Financial Group Classic",2007-07-08
3786,"Tournament Results Collected",2018-06-05,"Smurfit Kappa European Open",2007-07-08
3787,"Tournament Results Collected",2018-06-05,"AGF-Allianz Open des Volcans",2007-07-08
3788,"Tournament Results Collected",2018-06-05,"Woodone Open Hiroshima",2007-07-08
3789,"Tournament Results Collected",2018-06-05,"TELUS Edmonton Open",2007-07-08
3790,"Tournament Results Collected",2018-06-05,"John Deere Classic",2007-07-15
3791,"Tournament Results Collected",2018-06-05,"The Barclays Scottish Open",2007-07-15
3792,"Tournament Results Collected",2018-06-05,"Nationwide Children's Hospital Invitational",2007-07-15
3793,"Tournament Results Collected",2018-06-05,"Nagashima Shigeo Invitational Sega Sammy Cup ",2007-07-15
3794,"Tournament Results Collected",2018-06-05,"Free Press Manitoba Classic",2007-07-15
3795,"Tournament Results Collected",2018-06-05,"136th OPEN CHAMPIONSHIP",2007-07-22
3796,"Tournament Results Collected",2018-06-05,"U.S. Bank Championship in Milwaukee",2007-07-22
3797,"Tournament Results Collected",2018-06-05,"Price Cutter Charity Championship",2007-07-22
3798,"Tournament Results Collected",2018-06-05,"MAN NO Open",2007-07-22
3799,"Tournament Results Collected",2018-06-05,"Canadian Open presented by Franklin Templeton Investments",2007-07-29
3800,"Tournament Results Collected",2018-06-05,"Cox Classic Presented by Chevrolet",2007-07-29
3801,"Tournament Results Collected",2018-06-05,"The Deutsche Bank Players' Championship of Europe",2007-07-29
3802,"Tournament Results Collected",2018-06-05,"FIRSTPLUS Wales Challenge",2007-07-29
3803,"Tournament Results Collected",2018-06-05,"WGC-Bridgestone Invitational",2007-08-05
3804,"Tournament Results Collected",2018-06-05,"Reno-Tahoe Open",2007-08-05
3805,"Tournament Results Collected",2018-06-05,"Preferred Health Systems Wichita Open",2007-08-05
3806,"Tournament Results Collected",2018-06-05,"The Russian Open Golf Championship",2007-08-05
3807,"Tournament Results Collected",2018-06-05,"Challenge of Ireland presented by Glasson",2007-08-05
3808,"Tournament Results Collected",2018-06-05,"Sun Chlorella Classic",2007-08-05
3809,"Tournament Results Collected",2018-06-05,"89th PGA CHAMPIONSHIP",2007-08-12
3810,"Tournament Results Collected",2018-06-05,"Northeast Pennsylvania Classic",2007-08-12
3811,"Tournament Results Collected",2018-06-05,"Scottish Challenge",2007-08-12
3812,"Tournament Results Collected",2018-06-05,"Wyndham Championship",2007-08-19
3813,"Tournament Results Collected",2018-06-05,"Xerox Classic",2007-08-19
3814,"Tournament Results Collected",2018-06-05,"Scandinavian Masters",2007-08-19
3815,"Tournament Results Collected",2018-06-05,"Rolex Trophy",2007-08-19
3816,"Tournament Results Collected",2018-06-05,"Lexus Open",2007-08-19
3817,"Tournament Results Collected",2018-06-05,"Desjardins Montreal Open",2007-08-19
3818,"Tournament Results Collected",2018-06-05,"The Barclays",2007-08-26
3819,"Tournament Results Collected",2018-06-05,"National Mining Association Pete Dye",2007-08-26
3820,"Tournament Results Collected",2018-06-05,"The KLM Open",2007-08-26
3821,"Tournament Results Collected",2018-06-05,"POSTBANK Challenge",2007-08-26
3822,"Tournament Results Collected",2018-06-05,"KBC Augusta",2007-08-26
3823,"Tournament Results Collected",2018-06-05,"Iskandar Johor Open",2007-08-26
3824,"Tournament Results Collected",2018-06-05,"Jane Rogers Championship of Mississauga",2007-08-26
3825,"Tournament Results Collected",2018-06-05,"Johnnie Walker Championship at Gleneagles",2007-09-02
3826,"Tournament Results Collected",2018-06-05,"Omega European Masters",2007-09-09
3827,"Tournament Results Collected",2018-06-05,"Mercedes-Benz Championship",2007-09-16
3828,"Tournament Results Collected",2018-06-05,"The Quinn Direct British Masters",2007-09-23
3829,"Tournament Results Collected",2018-06-05,"Alfred Dunhill Links Championship",2007-10-07
3830,"Tournament ID Not Valid",2018-06-05,NA,NA
3831,"No Tournament Scores Available",2018-06-05,"HSBC World Match Play Championship",2007-10-14
3832,"Tournament Results Collected",2018-06-05,"Open de Madrid",2007-10-14
3833,"Tournament Results Collected",2018-06-05,"Portugal Masters",2007-10-21
3834,"Tournament Results Collected",2018-06-05,"Mallorca Classic",2007-10-28
3835,"Tournament Results Collected",2018-06-05,"Volvo Masters",2007-11-04
3836,"Tournament Results Collected",2018-06-05,"Deutsche Bank Championship",2007-09-02
3837,"Tournament Results Collected",2018-06-05,"BMW Championship",2007-09-09
3838,"Tournament Results Collected",2018-06-05,"THE TOUR Championship presented by Coca-Cola",2007-09-16
3839,"Tournament Results Collected",2018-06-05,"Turning Stone Resort Championship",2007-09-23
3840,"Tournament Results Collected",2018-06-05,"Viking Classic",2007-09-30
