"Pos","Country","Player_Name","Total","WGR_Pts","Pos_Num","Player_ID","Round_Num","Score","Event_Name","Event_ID","Event_Date","Event_Tour_1","Event_Tour_2","Event_Tour_3","Scrape_Date","Year"
"1","USA","Xander Schauffele",269,56,1,19895,2,67,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"2","USA","Gary Woodland",270,33.6,2,12577,2,67,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"3","USA","Justin Thomas",274,22.4,3,14139,2,72,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T4","USA","Dustin Johnson",277,13.81333,4,12422,2,74,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T4","NIR","Rory McIlroy",277,13.81333,4,10091,2,68,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T4","AUS","Marc Leishman",277,13.81333,4,7649,2,70,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"7","USA","Bryson DeChambeau",278,10.08,7,19841,2,68,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T8","ESP","Jon Rahm",279,8.4,8,19195,2,71,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T8","USA","Patton Kizzire",279,8.4,8,13470,2,71,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T8","USA","Webb Simpson",279,8.4,8,11049,2,72,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T11","USA","Kevin Tway",280,7,11,13127,2,71,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T11","USA","Cameron Champ",280,7,11,23542,2,68,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"13","AUS","Jason Day",281,6.16,13,9771,2,71,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T14","USA","Charles Howell III",282,5.46,14,6892,2,70,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T14","USA","Andrew Putnam",282,5.46,14,14704,2,73,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
