"Rank","Player_Name","Player_Value","Player_ID","Num_Rounds","Sum_Primary","Sum_Weight","Primary_Ratio","Primary_Player","Country","Tour","Num_Rounds_Yr","Sum_Primary_Yr","Sum_Weight_Yr","Primary_Ratio_Yr","Primary_Player_Yr","Tour_Yr"
1,"Dustin Johnson",-2.60123745344961,"12422",252,61.2756014433988,61.2756014433988,1,1,"USA","PGA Tour",82,46.2110395606364,46.2110395606364,1,1,"PGA Tour"
2,"Justin Rose",-2.4221982114674,"6093",256,60.4110450566534,61.5938942062499,0.980795999914607,1,"ENG","PGA Tour",94,45.9098394505574,47.0926886001539,0.9748825309245,1,"PGA Tour"
3,"Justin Thomas",-2.26754283303434,"14139",269,63.3843864172222,63.599241919891,0.996621728558661,1,"USA","PGA Tour",90,48.5884862502839,48.5884862502839,1,1,"PGA Tour"
4,"Tiger Woods",-2.21131736106666,"5321",78,46.1928377003995,46.1928377003995,1,1,"USA","PGA Tour",68,41.8188069157667,41.8188069157667,1,1,"PGA Tour"
5,"Rickie Fowler",-2.07925917960727,"12965",263,60.5717320804906,60.5717320804906,1,1,"USA","PGA Tour",82,44.2676059454613,44.2676059454613,1,1,"PGA Tour"
6,"Rory McIlroy",-2.04413450472359,"10091",235,58.9024643333538,58.9024643333538,1,1,"NIR","PGA Tour",81,45.3579909360136,45.3579909360136,1,1,"PGA Tour"
7,"Brooks Koepka",-1.88261444555191,"16243",240,56.2106162238054,57.4726395739266,0.978041319148081,1,"USA","PGA Tour",70,40.9504870256214,41.9976548730739,0.975066039982061,1,"PGA Tour"
8,"Tony Finau",-1.86063576868437,"11676",301,70.6944911029137,70.7385746632898,0.999376810169191,1,"USA","PGA Tour",98,53.2135257938709,53.2135257938709,1,1,"PGA Tour"
9,"Jason Day",-1.84834508082381,"9771",207,52.6133500372957,53.6929045192054,0.979893907927377,1,"AUS","PGA Tour",72,38.9232072966483,40.002761778558,0.973013001255119,1,"PGA Tour"
10,"Francesco Molinari",-1.82669598271081,"7655",266,63.1098149649903,63.1098149649903,1,1,"ITA","PGA Tour",90,47.626865481564,47.626865481564,1,1,"PGA Tour"
11,"Jon Rahm",-1.80093867889875,"19195",209,60.617515279066,60.617515279066,1,1,"ESP","PGA Tour",88,45.6547372055539,45.6547372055539,1,1,"PGA Tour"
12,"Tommy Fleetwood",-1.75130087590879,"12294",305,73.0368314312722,73.0368314312722,1,1,"ENG","European Tour",112,57.8188133347752,57.8188133347752,1,1,"European Tour"
13,"Webb Simpson",-1.73867868667729,"11049",263,68.0527673327714,68.0527673327714,1,1,"USA","PGA Tour",90,51.4201428017618,51.4201428017618,1,1,"PGA Tour"
14,"Hideki Matsuyama",-1.68390999908407,"13562",255,59.0817701086902,60.565935084858,0.9754950538766,1,"JPN","PGA Tour",81,44.2701533728752,45.3173212203276,0.976892547501623,1,"PGA Tour"
15,"Jordan Spieth",-1.65139781209353,"14636",266,58.8947248547443,60.2943622780788,0.976786595455154,1,"USA","PGA Tour",88,47.38655660004,48.4661110819497,0.977725580662242,1,"PGA Tour"
16,"Patrick Cantlay",-1.63037569828928,"15466",128,54.9121876611727,54.9121876611727,1,1,"USA","PGA Tour",80,44.8993879919615,44.8993879919615,1,1,"PGA Tour"
17,"Paul Casey",-1.61947449041502,"7108",256,58.2051479190994,58.2051479190994,1,1,"ENG","PGA Tour",80,42.4495640333261,42.4495640333261,1,1,"PGA Tour"
18,"Bryson DeChambeau",-1.61128399332091,"19841",256,67.8365204780291,68.2710954501616,0.993634568637474,1,"USA","PGA Tour",94,52.356184350268,52.356184350268,1,1,"PGA Tour"
19,"Henrik Stenson",-1.50926432837741,"5994",240,53.5023928536675,53.5023928536675,1,1,"SWE","PGA Tour",76,42.350673690819,42.350673690819,1,1,"PGA Tour"
20,"Tyrrell Hatton",-1.37968836958476,"14796",269,60.7464514486725,60.7464514486725,1,1,"ENG","European Tour",98,51.1636042830427,51.1636042830427,1,1,"European Tour"
21,"Patrick Reed",-1.37419416645395,"14838",342,73.6377414015909,73.6377414015909,1,1,"USA","PGA Tour",102,54.0750379680425,54.0750379680425,1,1,"PGA Tour"
22,"Alex Noren",-1.32484688800945,"10419",244,56.6126501180804,56.6126501180804,1,1,"SWE","European Tour",90,46.5525224417352,46.5525224417352,1,1,"PGA Tour"
23,"Marc Leishman",-1.27511748806149,"7649",280,67.2467972052204,67.2695206899504,0.999662202368965,1,"AUS","PGA Tour",94,50.7441765657333,50.7441765657333,1,1,"PGA Tour"
24,"Zach Johnson",-1.27094494032018,"6986",262,60.8360958729686,60.8360958729686,1,1,"USA","PGA Tour",87,48.8510012451977,48.8510012451977,1,1,"PGA Tour"
25,"Gary Woodland",-1.20968155847436,"12577",271,64.8508955022919,64.8508955022919,1,1,"USA","PGA Tour",91,48.8206681473655,48.8206681473655,1,1,"PGA Tour"
26,"Branden Grace",-1.17405083780818,"11952",281,54.6054480919656,54.7899518227162,0.996632526136406,1,"RSA","PGA Tour",92,43.7114755296364,43.7114755296364,1,1,"PGA Tour"
27,"Matt Kuchar",-1.16801361082274,"6169",304,62.785926335484,63.2873074718594,0.992077698413726,1,"USA","PGA Tour",96,48.744246439237,49.2077715223434,0.990580246396732,1,"PGA Tour"
28,"Billy Horschel",-1.16671033448416,"11276",241,61.2549082300303,61.2549082300303,1,1,"USA","PGA Tour",77,45.6136846796452,45.6136846796452,1,1,"PGA Tour"
29,"Rafael Cabrera Bello",-1.16314639984809,"7457",313,70.2856540435634,70.2856540435634,1,1,"ESP","European Tour",106,56.8793821272408,56.8793821272408,1,1,"PGA Tour"
30,"Adam Scott",-1.1618646053818,"6430",248,55.3131015307526,56.0302141676589,0.987201322579985,1,"AUS","PGA Tour",80,46.0342068207969,46.0342068207969,1,1,"PGA Tour"
31,"Louis Oosthuizen",-1.12247351478144,"7672",230,47.8321364215051,49.209570078722,0.972008825620436,1,"RSA","PGA Tour",68,37.4943781929192,38.8718118501361,0.964564716907785,1,"PGA Tour"
32,"Kyle Stanley",-1.12124744277467,"12069",283,64.280307914001,64.3332017733743,0.999177813976061,1,"USA","PGA Tour",88,47.3973157264265,47.3973157264265,1,1,"PGA Tour"
33,"Kevin Na",-1.11585837749404,"7452",273,61.0328017203048,64.2290347169629,0.950236944853011,1,"USA","PGA Tour",86,45.5840646208778,48.2761729815401,0.944235257386875,1,"PGA Tour"
34,"Ryan Moore",-1.0988960774377,"7489",237,54.4030171884537,54.4030171884537,1,1,"USA","PGA Tour",78,43.5056587105987,43.5056587105987,1,1,"PGA Tour"
35,"Xander Schauffele",-1.09734315371775,"19895",269,63.792847550934,67.0823037959397,0.950963874839302,1,"USA","PGA Tour",97,49.5102515964628,50.5574194439152,0.979287553459605,1,"PGA Tour"
36,"Daniel Berger",-1.08685197849568,"17606",259,55.444249668553,55.444249668553,1,1,"USA","PGA Tour",84,43.7229008897803,43.7229008897803,1,1,"PGA Tour"
37,"Emiliano Grillo",-1.07393993040589,"12808",309,63.6103168241308,63.991398276864,0.994044801910964,1,"ARG","PGA Tour",96,50.9611759453017,50.9611759453017,1,1,"PGA Tour"
38,"Phil Mickelson",-1.07123402545102,"1547",245,63.7481913878574,63.7481913878574,1,1,"USA","PGA Tour",85,48.3854733252348,48.3854733252348,1,1,"PGA Tour"
39,"Keegan Bradley",-1.06144270259043,"13872",281,67.4575537519656,67.4575537519656,1,1,"USA","PGA Tour",89,49.8943942407618,49.8943942407618,1,1,"PGA Tour"
40,"Steve Stricker",-1.05290815312236,"4818",141,30.0772588722431,30.0772588722431,1,1,"USA","PGA Tour",40,23.1841566686485,23.1841566686485,1,0,"PGA Tour"
41,"Matthew Fitzpatrick",-1.045685648588,"17646",288,62.4153356268952,62.4636372205395,0.99922672460661,1,"ENG","European Tour",100,51.2015465315373,51.2015465315373,1,1,"European Tour"
42,"Sergio Garcia",-1.04167357520769,"5689",237,49.8757580799546,51.6309645624079,0.966004770638524,1,"ESP","PGA Tour",80,36.2706035351797,37.6480371923966,0.963412869303713,1,"European Tour"
43,"Charley Hoffman",-0.978180088455052,"5768",286,63.8409822204399,63.8409822204399,1,1,"USA","PGA Tour",90,49.3395816186493,49.3395816186493,1,1,"PGA Tour"
44,"Joaquin Niemann",-0.976900027727017,"18079",64,30.7027908626877,32.3603801931181,0.948777198520588,1,"CHI","PGA Tour",50,29.8478403355422,31.2549554027831,0.954979456885882,0,"PGA Tour"
45,"Ian Poulter",-0.968092717802778,"1435",275,66.7963723907296,66.9808761214802,0.997245426733207,1,"ENG","PGA Tour",102,54.2525450521891,54.2525450521891,1,1,"PGA Tour"
46,"Byeong Hun An",-0.958806952053323,"14459",299,67.7047001084271,71.8663817316307,0.942091399025145,1,"KOR","PGA Tour",107,56.4320406299006,60.3120406299006,0.935667903797033,1,"PGA Tour"
47,"Luke List",-0.941762875097193,"7960",285,63.4001606428612,63.4703296010871,0.998894460472052,1,"USA","PGA Tour",99,51.2322470166759,51.2322470166759,1,1,"PGA Tour"
48,"Adam Hadwin",-0.910016925097336,"13965",280,60.9787223084866,60.9787223084866,1,1,"CAN","PGA Tour",93,48.6468269748999,48.6468269748999,1,1,"PGA Tour"
49,"Bubba Watson",-0.904996810921149,"7334",241,58.0810806046674,58.1614529884852,0.998618115956736,1,"USA","PGA Tour",75,43.4311660342406,43.4311660342406,1,1,"PGA Tour"
50,"Russell Henley",-0.894865454584079,"14578",247,53.5010240444627,53.5010240444627,1,1,"USA","PGA Tour",78,41.1648935318862,41.1648935318862,1,1,"PGA Tour"
