"Rank","Player_Name","Player_Value","Player_ID","Num_Rounds","Sum_Primary","Sum_Weight","Primary_Ratio","Primary_Player","Country","Tour","Num_Rounds_Yr","Sum_Primary_Yr","Sum_Weight_Yr","Primary_Ratio_Yr","Primary_Player_Yr","Tour_Yr"
1,"Patrick Cantlay",-2.29096778988941,"15466",200,56.3223845296157,56.3223845296157,1,1,"USA","PGA Tour",84,42.775506174985,42.775506174985,1,1,"PGA Tour"
2,"Jon Rahm",-2.26193989176117,"19195",259,61.9347922792208,61.9347922792208,1,1,"ESP","PGA Tour",90,46.8088056545675,46.8088056545675,1,1,"PGA Tour"
3,"Rory McIlroy",-2.25624472526412,"10091",237,59.8254301097559,59.8254301097559,1,1,"NIR","PGA Tour",84,44.8112797724825,44.8112797724825,1,1,"PGA Tour"
4,"Justin Thomas",-2.07023744585813,"14139",263,60.4343013131764,60.4856368362333,0.999151277464501,1,"USA","PGA Tour",88,45.2723769629088,45.2723769629088,1,1,"PGA Tour"
5,"Webb Simpson",-1.99779721715066,"11049",269,63.1213966788387,63.1213966788387,1,1,"USA","PGA Tour",90,47.6162927463939,47.6162927463939,1,1,"PGA Tour"
6,"Dustin Johnson",-1.99649521588044,"12422",254,61.1539283114929,61.1539283114929,1,1,"USA","PGA Tour",90,46.4598054064734,46.4598054064734,1,1,"PGA Tour"
7,"Justin Rose",-1.87967353541932,"6093",258,56.9687918279202,58.6288441708943,0.971685398775126,1,"ENG","PGA Tour",86,42.0260547273388,43.4034883845557,0.968264448124243,1,"PGA Tour"
8,"Brooks Koepka",-1.85828107423046,"16243",256,63.1160994218611,64.6370673483767,0.976469106831256,1,"USA","PGA Tour",98,49.5770138833411,50.7964459963272,0.975993751352717,1,"PGA Tour"
9,"Tommy Fleetwood",-1.71838775606844,"12294",319,71.2119089351775,71.2119089351775,1,1,"ENG","European Tour",108,53.6781153833973,53.6781153833973,1,1,"PGA Tour"
10,"Adam Scott",-1.65216696152186,"6430",233,47.8734309101066,49.0615022720426,0.975784040298067,1,"AUS","PGA Tour",69,33.5884532423331,34.6356210897856,0.96976615939013,1,"PGA Tour"
11,"Tiger Woods",-1.65179975985515,"5321",118,35.0435002272215,35.0435002272215,1,1,"USA","PGA Tour",52,23.579940127849,23.579940127849,1,0,"PGA Tour"
12,"Rickie Fowler",-1.64357372720587,"12965",260,60.374755047385,60.374755047385,1,1,"USA","PGA Tour",82,44.1647909121797,44.1647909121797,1,1,"PGA Tour"
13,"Paul Casey",-1.58360075476966,"7108",260,55.1882122864156,56.7922405605883,0.97175620721529,1,"ENG","PGA Tour",82,40.2838034667755,41.8878317409481,0.961706581422199,1,"PGA Tour"
14,"Hideki Matsuyama",-1.54812502594495,"13562",282,67.7201221740901,70.1707704574874,0.965075938778782,1,"JPN","PGA Tour",111,54.3057775708227,56.4123465460062,0.962657660881638,1,"PGA Tour"
15,"Tony Finau",-1.54807590426052,"11676",302,67.6959342563469,67.6959342563469,1,1,"USA","PGA Tour",100,50.7952116551041,50.7952116551041,1,1,"PGA Tour"
