"Rank","Player_Name","Player_Value","Player_ID","Num_Rounds","Sum_Primary","Sum_Weight","Primary_Ratio","Primary_Player","Country","Tour","Num_Rounds_Yr","Sum_Primary_Yr","Sum_Weight_Yr","Primary_Ratio_Yr","Primary_Player_Yr","Tour_Yr"
1,"Dustin Johnson",-2.41490512497351,"12422",248,53.7513207563174,53.7513207563174,1,1,"USA","PGA Tour",92,44.3310300051153,44.3310300051153,1,1,1
2,"Rory McIlroy",-2.32157792749735,"10091",229,54.2305149705156,54.2305149705156,1,1,"NIR","PGA Tour",82,40.023954786441,40.023954786441,1,1,1
3,"Patrick Cantlay",-2.28790665263454,"15466",184,48.0364350952441,48.0364350952441,1,1,"USA","PGA Tour",84,39.5914307410652,39.5914307410652,1,1,1
4,"Jon Rahm",-2.12093069644432,"19195",261,54.7392803546209,54.7392803546209,1,1,"ESP","PGA Tour",88,43.8651810105663,43.8651810105663,1,1,1
5,"Tiger Woods",-2.06943560354737,"5321",112,34.0884531544672,34.0884531544672,1,1,"USA","PGA Tour",62,28.0694831635594,28.0694831635594,1,0,1
6,"Justin Rose",-2.04432734883879,"6093",254,48.8994770044411,50.8326161293535,0.961970497052658,1,"ENG","PGA Tour",86,38.6401630265777,40.2441913007503,0.960142613820079,1,1
7,"Webb Simpson",-1.87705930986861,"11049",265,51.7205479826124,51.7205479826124,1,1,"USA","PGA Tour",86,40.8458198058643,40.8458198058643,1,1,1
8,"Justin Thomas",-1.83107281531897,"14139",261,52.9540259906857,53.0138064599818,0.998872360366327,1,"USA","PGA Tour",82,38.0760022361416,38.0760022361416,1,1,1
9,"Adam Scott",-1.82012166970109,"6430",227,40.3307132552821,41.7142282044744,0.966833500013218,1,"AUS","PGA Tour",71,30.9549180483182,32.1743501613043,0.962099246546626,1,1
10,"Paul Casey",-1.76658234412032,"7108",254,46.9430858319005,48.810984652918,0.96173199876422,1,"ENG","PGA Tour",84,37.2341154633379,39.1020142843554,0.9522301125606,1,1
11,"Brooks Koepka",-1.72736111489146,"16243",248,56.0223259539022,57.7935005912129,0.969353394080787,1,"USA","PGA Tour",100,47.947950698199,49.3679853963608,0.97123571709964,1,1
12,"Jason Day",-1.72125906331509,"9771",214,49.284283990566,49.5846545780431,0.993942267218896,1,"AUS","PGA Tour",82,41.2442500848476,41.2442500848476,1,1,1
13,"Xander Schauffele",-1.71445527472456,"19895",291,52.6675290494323,53.3418279077843,0.987358909793684,1,"USA","PGA Tour",90,41.2793851199468,41.2793851199468,1,1,1
14,"Rickie Fowler",-1.67548834384902,"12965",266,59.4163601683615,59.4163601683615,1,1,"USA","PGA Tour",90,46.5403588567484,46.5403588567484,1,1,1
15,"Bryson DeChambeau",-1.67424985312773,"19841",268,59.5879185345295,59.678151852553,0.998488000797236,1,"USA","PGA Tour",96,48.2150712055185,48.2150712055185,1,1,1
16,"Matt Kuchar",-1.67151105652269,"6169",300,59.1017801269151,60.6507840469699,0.974460282016219,1,"USA","PGA Tour",92,43.0782392747976,44.4982739729593,0.968087870126723,1,1
17,"Hideki Matsuyama",-1.65676904027441,"13562",276,61.2738763398547,64.1276683290561,0.955498272998827,1,"JPN","PGA Tour",111,52.876287440861,55.3293973819354,0.955663534085854,1,1
18,"Gary Woodland",-1.59374400139155,"12577",275,54.0480405850542,54.0480405850542,1,1,"USA","PGA Tour",99,44.043818515151,44.043818515151,1,1,1
19,"Tommy Fleetwood",-1.57472501697393,"12294",309,65.4328685325607,65.4328685325607,1,1,"ENG","European Tour",112,53.1598343331622,53.1598343331622,1,1,1
20,"Tony Finau",-1.40161593771404,"11676",300,61.4073749350436,61.4073749350436,1,1,"USA","PGA Tour",104,49.8026787506253,49.8026787506253,1,1,1
21,"Henrik Stenson",-1.38566929905706,"5994",236,54.6393983654613,56.2434266396339,0.971480609023877,1,"SWE","PGA Tour",82,41.3075084919215,42.9115367660941,0.962620115823024,1,1
22,"Marc Leishman",-1.33695718442203,"7649",270,53.1643634396499,53.1643634396499,1,1,"AUS","PGA Tour",88,41.6616440482972,41.6616440482972,1,1,1
23,"Francesco Molinari",-1.29247187120192,"7655",246,47.3842009237934,47.3842009237934,1,1,"ITA","PGA Tour",76,36.3476919333479,36.3476919333479,1,1,1
24,"Sergio Garcia",-1.26706940464341,"5689",239,48.8096398075668,51.1394244396828,0.954442494071009,1,"ESP","PGA Tour",81,39.4992481385712,41.3671469595887,0.954845838828522,1,1
25,"Louis Oosthuizen",-1.21963329009126,"7672",236,52.5235227758671,52.906773981584,0.992756103295008,1,"RSA","PGA Tour",88,44.3154219233798,44.3154219233798,1,1,1
26,"Chez Reavie",-1.20303388996767,"7961",267,54.3923594964021,54.3923594964021,1,1,"USA","PGA Tour",90,43.981373239967,43.981373239967,1,1,1
27,"Jim Furyk",-1.1929085036687,"2881",179,43.103121217999,43.103121217999,1,1,"USA","PGA Tour",64,35.8562992383854,35.8562992383854,1,0,1
28,"Rafael Cabrera Bello",-1.18429674918678,"7457",316,70.9706764233691,70.9706764233691,1,1,"ESP","PGA Tour",110,54.9133101242458,54.9133101242458,1,1,1
29,"Jordan Spieth",-1.16939620148037,"14636",254,54.6154059355289,54.9755569923022,0.99344888753335,1,"USA","PGA Tour",84,44.2854437876011,44.2854437876011,1,1,1
30,"Lucas Glover",-1.16638836616759,"7399",243,52.888843063905,56.5744969443525,0.934853086116298,1,"USA","PGA Tour",80,39.2365999293619,42.9222538098094,0.914131865097793,1,1
31,"Patrick Reed",-1.1246929263363,"14838",332,68.4345606868564,68.4345606868564,1,1,"USA","PGA Tour",114,56.4635786843243,56.4635786843243,1,1,1
32,"Charles Howell III",-1.12158775030961,"6892",268,63.4632510784266,63.4632510784266,1,1,"USA","PGA Tour",88,46.3744621533601,46.3744621533601,1,1,1
33,"Billy Horschel",-1.10247681984575,"11276",261,60.4701389622463,60.4701389622463,1,1,"USA","PGA Tour",100,50.0182793184289,50.0182793184289,1,1,1
34,"Matthew Fitzpatrick",-1.07868047398237,"17646",285,63.2313991942222,65.0992980152397,0.971306928369946,1,"ENG","European Tour",100,47.8600395131709,49.7279383341884,0.962437638004122,1,1
35,"Ian Poulter",-1.05254360187593,"1435",274,58.3827170918794,58.4340526149363,0.999121479329952,1,"ENG","PGA Tour",92,42.5917703623383,42.5917703623383,1,1,1
36,"Shane Lowry",-1.02381042983603,"13900",249,51.225474231845,51.225474231845,1,1,"IRL","European Tour",79,38.9599424201062,38.9599424201062,1,1,1
37,"Tyrrell Hatton",-1.01401424918408,"14796",266,59.4190919645199,59.4190919645199,1,1,"ENG","European Tour",94,45.4172953708561,45.4172953708561,1,1,1
38,"Scott Piercy",-0.982162276387145,"7899",239,55.5246692738015,55.5246692738015,1,1,"USA","PGA Tour",90,46.2508870894513,46.2508870894513,1,1,1
39,"Adam Hadwin",-0.968429909442098,"13965",277,57.0129779244364,57.0129779244364,1,1,"CAN","PGA Tour",88,45.2016891766327,45.2016891766327,1,1,1
40,"Keegan Bradley",-0.944295218561019,"13872",295,61.8637382031989,63.2837729013607,0.977560840116547,1,"USA","PGA Tour",104,50.2243047619391,51.6443394601009,0.972503575164151,1,1
41,"Kevin Na",-0.93028617020305,"7452",257,45.3711642516201,49.9111623487257,0.909038421798614,1,"USA","PGA Tour",81,35.0584224963776,38.7091144963776,0.905689085180659,1,1
42,"Byeong Hun An",-0.919482255328092,"14459",285,57.4661699977448,60.0140607714605,0.957545102914827,1,"KOR","PGA Tour",100,45.5834854626748,48.0830746427462,0.948015196643659,1,1
43,"Matt Wallace",-0.91683647564073,"20706",268,68.7398623305057,69.2185840941822,0.993083912796812,1,"ENG","European Tour",110,54.0257685905226,54.0257685905226,1,1,1
44,"Emiliano Grillo",-0.912123394264308,"12808",299,57.4314487520915,58.9112639195494,0.974880607391504,1,"ARG","PGA Tour",96,45.3910225779833,46.811057276145,0.969664545498625,1,1
45,"Brandt Snedeker",-0.880702899919197,"8820",257,61.0880912703145,62.6108446454877,0.975679079498203,1,"USA","PGA Tour",103,51.2425383923095,52.6625730904713,0.973035219989684,1,1
46,"Kevin Streelman",-0.876097588107232,"8480",271,60.2675587083353,60.2675587083353,1,1,"USA","PGA Tour",85,47.8689696178559,47.8689696178559,1,1,1
47,"Haotong Li",-0.862800415826092,"15310",269,57.9860323196607,57.9860323196607,1,1,"CHN","European Tour",92,44.6227705438456,44.6227705438456,1,1,1
48,"Rory Sabbatini",-0.850824626173742,"6283",253,62.623525200262,62.7137585182855,0.998561187845293,1,"RSA","PGA Tour",87,50.5968508099814,50.5968508099814,1,1,1
49,"Mike Lorenzo-Vera",-0.842254962625535,"9675",234,52.614034464587,52.614034464587,1,1,"FRA","European Tour",77,38.4534651999826,38.4534651999826,1,1,1
50,"Joaquin Niemann",-0.833267078764953,"18079",146,60.6432787178136,63.8699382644426,0.949480778683868,1,"CHI","PGA Tour",98,51.6764108150375,54.4517802590192,0.949030694115422,1,1
51,"Jason Kokrak",-0.818394933459392,"12337",286,59.5264888960962,59.5264888960962,1,1,"USA","PGA Tour",96,47.7144791460671,47.7144791460671,1,1,1
52,"Sungjae Im",-0.805081465588438,"17488",346,63.2137063609297,85.8955791429507,0.735936668588345,1,"KOR","Japan Golf Tour",134,58.8504216551122,67.4239104430185,0.872842012105603,1,1
53,"Aaron Wise",-0.802036514171734,"22051",251,49.7688024281477,52.0961416672537,0.955326072821839,1,"USA","PGA Tour",81,42.0085530614091,42.0085530614091,1,1,1
54,"Russell Knox",-0.777838034999108,"13831",292,63.7982488890397,63.7982488890397,1,1,"SCO","PGA Tour",94,48.2078704221127,48.2078704221127,1,1,1
55,"Andrew Putnam",-0.776810636850219,"14704",264,52.9350533633164,57.3800285940769,0.922534454240071,1,"USA","PGA Tour",87,40.8484545562824,42.2684892544441,0.96640441323527,1,1
56,"Abraham Ancer",-0.763358009868762,"18238",287,61.1210001811321,65.7560251328997,0.929511783256367,1,"MEX","PGA Tour",100,51.2668380653921,52.6868727635538,0.973047656395654,1,1
57,"Ryan Moore",-0.718567295951543,"7489",258,55.3913206658577,55.3913206658577,1,1,"USA","PGA Tour",84,41.5307160454734,41.5307160454734,1,1,1
58,"Vaughn Taylor",-0.715893727414596,"6930",265,61.8444267506106,61.8444267506106,1,1,"USA","PGA Tour",85,46.7989992943564,46.7989992943564,1,1,1
59,"Eddie Pepperell",-0.712452944251381,"15113",213,46.9982947251263,47.1016325519149,0.99780606698346,1,"ENG","European Tour",76,34.8020221110632,34.8020221110632,1,1,1
60,"Bubba Watson",-0.701613473393042,"7334",231,48.4709155442859,48.4709155442859,1,1,"USA","PGA Tour",78,38.9758098286906,38.9758098286906,1,1,1
61,"Lee Westwood",-0.686145519514619,"4052",232,45.5868694214123,45.6756926949026,0.998055349174809,1,"ENG","European Tour",73,33.8131070542848,33.8131070542848,1,1,1
62,"Daniel Berger",-0.684142491046841,"17606",252,59.9811817872573,59.9811817872573,1,1,"USA","PGA Tour",78,45.6284315709254,45.6284315709254,1,1,1
63,"Thorbjorn Olesen",-0.684041654704906,"13412",249,49.0565137829033,49.0565137829033,1,1,"DEN","European Tour",78,38.2500910360922,38.2500910360922,1,1,1
64,"Bud Cauley",-0.677847866191907,"14502",237,56.7063687288694,56.7063687288694,1,1,"USA","PGA Tour",71,44.1892858973434,44.1892858973434,1,1,1
65,"Martin Kaymer",-0.676975425780283,"8117",272,67.5624610206091,67.5624610206091,1,1,"GER","European Tour",99,53.2265154687816,53.2265154687816,1,1,1
66,"Zach Johnson",-0.65933134447382,"6986",254,54.3227396862416,54.3227396862416,1,1,"USA","PGA Tour",80,39.773519923883,39.773519923883,1,1,1
67,"Kevin Kisner",-0.651923761638197,"11328",280,60.9206141052653,60.9206141052653,1,1,"USA","PGA Tour",92,48.2426590561757,48.2426590561757,1,1,1
68,"Dylan Frittelli",-0.617923306059692,"11955",339,64.9403656085126,70.2525977797417,0.924383832924098,1,"RSA","European Tour",107,48.8104298214204,53.0039601078823,0.920882698614848,1,1
69,"Scottie Scheffler",-0.616130769724441,"18417",80,9.78918496012811,48.0471194814368,0.203741349445729,0,"USA","Web.com Tour",66,8.71888229253606,42.9768168138448,0.202874082794501,0,1
70,"Kyle Stanley",-0.597491766599431,"12069",272,58.2209283695927,58.2209283695927,1,1,"USA","PGA Tour",88,43.461233960143,43.461233960143,1,1,1
71,"Pat Perez",-0.595317462735184,"6762",227,47.7401001862318,48.1233513919487,0.992036065763677,1,"USA","PGA Tour",73,34.4539438803028,34.4539438803028,1,1,1
72,"Ryan Palmer",-0.574530181532746,"7820",196,45.5978701979367,45.5978701979367,1,1,"USA","PGA Tour",69,33.4780187595002,33.4780187595002,1,1,1
73,"Steve Stricker",-0.572372271890678,"4818",124,20.4863820099792,20.4863820099792,1,1,"USA","PGA Tour",30,14.4969978669085,14.4969978669085,1,0,1
74,"Kevin Chappell",-0.56152815261304,"13305",206,19.074990579469,19.074990579469,1,1,"USA","PGA Tour",32,8.44514311141487,8.44514311141487,1,0,1
75,"Denny McCarthy",-0.558750446245381,"19870",259,52.2180101344229,59.824276239069,0.872856529442161,1,"USA","PGA Tour",93,43.0951520389204,47.2886823253823,0.911320635715598,1,1
76,"Cameron Smith",-0.558212435825525,"15856",272,52.9171768369008,54.8110221827768,0.965447728021553,1,"AUS","PGA Tour",100,44.4592863536081,45.8793210517699,0.969048480544004,1,1
77,"Charley Hoffman",-0.554213926570075,"5768",274,54.1096450466142,54.1096450466142,1,1,"USA","PGA Tour",86,42.6470539552276,42.6470539552276,1,1,1
78,"Phil Mickelson",-0.551613699897467,"1547",237,46.4131007869546,46.4131007869546,1,1,"USA","PGA Tour",74,35.7773870014786,35.7773870014786,1,1,1
79,"Graham Delaet",-0.549557713326724,"10252",99,2.87905293611146,2.87905293611146,1,1,"CAN","PGA Tour",0,0,0,NA,0,NA
80,"Erik van Rooyen",-0.549331159898566,"17550",266,61.0828418822183,65.8028493795498,0.92827046941225,1,"RSA","European Tour",99,50.5500523084498,51.0135773915562,0.990913691867782,1,1
81,"Thomas Pieters",-0.5465716816452,"13944",249,50.9282488512285,50.9282488512285,1,1,"BEL","European Tour",80,36.3255016440911,36.3255016440911,1,1,1
82,"Peter Malnati",-0.517824355981782,"14926",280,64.3618038960629,68.5553341825248,0.938829992786602,1,"USA","PGA Tour",102,49.2036291300102,53.3971594164722,0.921465292680564,1,1
83,"Joost Luiten",-0.515260856451226,"10158",224,47.1320531640391,47.1320531640391,1,1,"NED","European Tour",61,36.8193084909165,36.8193084909165,1,0,1
84,"Kevin Tway",-0.507197995063766,"13127",290,57.4051746259101,57.7286258651888,0.994397039000477,1,"USA","PGA Tour",84,42.1963682112492,42.1963682112492,1,1,1
85,"Alex Noren",-0.500762832353229,"10419",248,52.2053606217827,52.2053606217827,1,1,"SWE","PGA Tour",80,41.5144491411138,41.5144491411138,1,1,1
