"Rank","Player_Name","Player_Value","Player_ID","Num_Rounds","Sum_Primary","Sum_Weight","Primary_Ratio","Primary_Player","Country","Tour","Num_Rounds_Yr","Sum_Primary_Yr","Sum_Weight_Yr","Primary_Ratio_Yr","Primary_Player_Yr","Tour_Yr"
1,"Rory McIlroy",-2.27012198323581,"10091",245,45.8772396204188,52.127821942934,0.880091243225972,1,"NIR","PGA Tour",88,35.6102125166649,41.86079483918,0.850681709544014,1,"PGA Tour"
2,"Jon Rahm",-2.16487718598144,"19195",270,45.6036842009751,53.3580749589464,0.854672591469285,1,"ESP","PGA Tour",87,34.5559587288353,42.3103494868067,0.816725910988059,1,"PGA Tour"
3,"Justin Thomas",-1.85812914340726,"14139",247,47.6642533184125,47.6642533184125,1,1,"USA","PGA Tour",76,36.4915869977312,36.4915869977312,1,1,"PGA Tour"
4,"Webb Simpson",-1.53592042209058,"11049",252,43.7666930349474,43.7666930349474,1,1,"USA","PGA Tour",78,33.9079991483779,33.9079991483779,1,1,"PGA Tour"
5,"Patrick Cantlay",-1.44436804593726,"15466",224,40.6241720927349,43.7591455304857,0.928358440281546,1,"USA","PGA Tour",74,31.1422287852641,34.2772022230149,0.908540568236755,1,"PGA Tour"
6,"Xander Schauffele",-1.40467337540114,"19895",279,50.8829859129678,52.7408239986942,0.964774193027921,1,"USA","PGA Tour",80,39.2139432783223,40.9714492790177,0.957104129055171,1,"PGA Tour"
7,"Hideki Matsuyama",-1.37000605990239,"13562",271,58.6592376281348,61.4470797229762,0.954630193860963,1,"JPN","PGA Tour",101,47.7835460574254,49.6263070178134,0.962867255874458,1,"PGA Tour"
8,"Dustin Johnson",-1.29618398175722,"12422",232,39.493021122097,42.824909141813,0.922197429335283,1,"USA","PGA Tour",70,28.953482840376,32.285370860092,0.896798830834105,1,"PGA Tour"
9,"Tommy Fleetwood",-1.28870237408407,"12294",310,47.4514000586093,62.452191373435,0.75980360360571,1,"ENG","PGA Tour",102,33.9270786648043,48.9278699796299,0.69341008874756,1,"PGA Tour"
10,"Patrick Reed",-1.23262924995165,"14838",332,58.1614770684226,70.0335074204034,0.830480711458385,1,"USA","PGA Tour",116,44.8919402570842,56.7639706090649,0.790852714766137,1,"PGA Tour"
11,"Bryson DeChambeau",-1.23118439523726,"19841",276,49.1220005605419,53.9214186585418,0.910992362267167,1,"USA","PGA Tour",84,37.101389075596,41.9008071735959,0.885457621899363,1,"PGA Tour"
12,"Tiger Woods",-1.20062911446554,"5321",128,25.576479460987,25.576479460987,1,1,"USA","PGA Tour",40,18.5280047658473,18.5280047658473,1,0,"PGA Tour"
13,"Rickie Fowler",-1.1699059428339,"12965",246,45.0167461616361,45.0167461616361,1,1,"USA","PGA Tour",74,34.5116411410551,34.5116411410551,1,1,"PGA Tour"
