"Rank","Player_Name","Player_Value","Player_ID","Num_Rounds","Sum_Primary","Sum_Weight","Primary_Ratio","Primary_Player","Country","Tour","Num_Rounds_Yr","Sum_Primary_Yr","Sum_Weight_Yr","Primary_Ratio_Yr","Primary_Player_Yr","Tour_Yr"
1,"Dustin Johnson",-2.60132895912304,"12422",258,55.1586629094398,55.1586629094398,1,1,"USA","PGA Tour",94,46.1399854706997,46.1399854706997,1,1,1
2,"Rory McIlroy",-2.29699342748336,"10091",229,50.7522226453987,50.7522226453987,1,1,"NIR","PGA Tour",88,41.8478814742148,41.8478814742148,1,1,1
3,"Justin Thomas",-2.25761421448088,"14139",263,50.7308297672167,50.8094643725983,0.998452363032112,1,"USA","PGA Tour",90,40.9207438480048,40.9207438480048,1,1,1
4,"Jon Rahm",-2.13818799826739,"19195",253,53.1853787346485,53.1853787346485,1,1,"ESP","PGA Tour",90,43.0337437714684,43.0337437714684,1,1,1
5,"Tiger Woods",-2.12563832079674,"5321",102,33.7369894111755,33.7369894111755,1,1,"USA","PGA Tour",66,29.0332623356363,29.0332623356363,1,0,1
6,"Justin Rose",-2.09977732639429,"6093",248,47.0035793148141,49.5464103434931,0.948677794999674,1,"ENG","PGA Tour",86,36.9590894262902,39.0690114768459,0.945994997805199,1,1
7,"Jason Day",-2.02344343309898,"9771",212,44.1045439076922,44.4996482434829,0.991121180697231,1,"AUS","PGA Tour",78,36.5564566883166,36.5564566883166,1,1,1
8,"Rickie Fowler",-2.01469941302108,"12965",260,55.4247539303848,55.4247539303848,1,1,"USA","PGA Tour",90,45.1313461983911,45.1313461983911,1,1,1
9,"Patrick Cantlay",-1.95158092163358,"15466",168,45.2200814560484,45.2200814560484,1,1,"USA","PGA Tour",86,38.2086931764083,38.2086931764083,1,1,1
10,"Brooks Koepka",-1.74815146855595,"16243",244,50.6348087578143,52.9645933899304,0.956012413520029,1,"USA","PGA Tour",96,40.4254546891583,42.2933535101758,0.955834695856689,1,1
11,"Webb Simpson",-1.73012367469481,"11049",267,54.8688304628899,54.8688304628899,1,1,"USA","PGA Tour",90,44.1805263139869,44.1805263139869,1,1,1
12,"Tommy Fleetwood",-1.69092126471764,"12294",307,67.5229206042646,67.5229206042646,1,1,"ENG","European Tour",114,52.2794560261248,52.2794560261248,1,1,1
13,"Tony Finau",-1.68816984954782,"11676",302,60.5635975888453,60.5635975888453,1,1,"USA","PGA Tour",104,49.2962001617816,49.2962001617816,1,1,1
14,"Bryson DeChambeau",-1.66553057255972,"19841",264,55.4030396891398,55.5217316539001,0.997862243103293,1,"USA","PGA Tour",96,44.820790352463,44.820790352463,1,1,1
15,"Paul Casey",-1.65216498013365,"7108",254,48.2809881880389,50.7380028018896,0.951574471241126,1,"ENG","PGA Tour",84,38.2068172323863,40.663831846237,0.939577395875,1,1
16,"Matt Kuchar",-1.59309849643975,"6169",306,57.2166712999075,59.2542148893475,0.96561352482275,1,"USA","PGA Tour",94,44.6664095889231,46.5343084099406,0.959859748971396,1,1
17,"Xander Schauffele",-1.57971128782856,"19895",298,53.9882318607725,55.0799598122759,0.980179216629347,1,"USA","PGA Tour",94,43.2103769044148,43.2103769044148,1,1,1
18,"Sergio Garcia",-1.52757566732563,"5689",241,48.0249156848512,51.0894900739051,0.940015561231465,1,"ESP","PGA Tour",83,39.3488942257542,41.805908839605,0.941228054070599,1,1
19,"Francesco Molinari",-1.48162938264786,"7655",252,44.7070860866665,44.7070860866665,1,1,"ITA","PGA Tour",78,34.129642837246,34.129642837246,1,1,1
20,"Gary Woodland",-1.47157526754757,"12577",279,55.6234833118332,55.6234833118332,1,1,"USA","PGA Tour",99,45.5760860698956,45.5760860698956,1,1,1
21,"Hideki Matsuyama",-1.40537118942588,"13562",268,57.4966002160941,61.2504484135776,0.938713131173561,1,"JPN","PGA Tour",101,45.4455527704305,48.6723479837382,0.933703728154109,1,1
22,"Louis Oosthuizen",-1.37659762635335,"7672",232,46.1723529476125,46.6764775836083,0.98919959983928,1,"RSA","PGA Tour",82,38.3593654685618,38.3593654685618,1,1,1
23,"Ian Poulter",-1.36259307643182,"1435",266,57.8593524087633,57.926878620002,0.998834285346503,1,"ENG","PGA Tour",100,46.8426300215268,46.8426300215268,1,1,1
24,"Adam Scott",-1.28553811794212,"6430",231,40.0404030252696,41.8602641496504,0.956525331090247,1,"AUS","PGA Tour",77,31.4694799432837,33.0735082174564,0.95150111492176,1,1
25,"Marc Leishman",-1.26479326733413,"7649",282,54.278569703769,54.278569703769,1,1,"AUS","PGA Tour",96,43.9267614278143,43.9267614278143,1,1,1
26,"Bubba Watson",-1.20573927715512,"7334",233,47.7270107462967,47.7270107462967,1,1,"USA","PGA Tour",82,39.3121051022893,39.3121051022893,1,1,1
27,"Charles Howell III",-1.19070543552456,"6892",264,57.3611867859077,57.3611867859077,1,1,"USA","PGA Tour",98,46.4848112590789,46.4848112590789,1,1,1
28,"Henrik Stenson",-1.17931420859168,"5994",230,49.0684881642684,51.1784102148242,0.958773200619182,1,"SWE","PGA Tour",78,36.2554461823061,38.3653682328619,0.945004514546832,1,1
29,"Rafael Cabrera Bello",-1.14325619785373,"7457",318,65.2768221510517,65.2768221510517,1,1,"ESP","PGA Tour",106,49.7415327505754,49.7415327505754,1,1,1
30,"Phil Mickelson",-1.1207350715148,"1547",243,45.3264347005722,45.3264347005722,1,1,"USA","PGA Tour",78,35.3747421487251,35.3747421487251,1,1,1
31,"Matthew Fitzpatrick",-1.11069682470228,"17646",279,53.412588592059,55.8696032059098,0.956022336425134,1,"ENG","European Tour",100,43.3487732303682,45.805787844219,0.946360171290868,1,1
32,"Lucas Glover",-1.10720885087807,"7399",237,46.1032901981678,50.9513608452291,0.904849044919765,1,"USA","PGA Tour",73,35.2638422474054,40.1119128944667,0.87913638873777,1,1
33,"Jim Furyk",-1.07070002451277,"2881",183,37.0405013797883,37.0405013797883,1,1,"USA","PGA Tour",62,31.1102784095975,31.1102784095975,1,0,1
34,"Patrick Reed",-1.02821320880507,"14838",338,68.6821289934552,68.6821289934552,1,1,"USA","PGA Tour",106,51.8636443540355,51.8636443540355,1,1,1
35,"Jason Kokrak",-1.0237701332603,"12337",286,62.5797994070186,62.5797994070186,1,1,"USA","PGA Tour",100,51.0953206145269,51.0953206145269,1,1,1
36,"Scott Piercy",-1.00133194175594,"7899",243,52.8506704937004,52.8506704937004,1,1,"USA","PGA Tour",84,40.1375727660398,40.1375727660398,1,1,1
37,"Joost Luiten",-0.990749528937163,"10158",226,41.156130299183,41.156130299183,1,1,"NED","European Tour",43,26.4579258005341,26.4579258005341,1,0,1
38,"Byeong Hun An",-0.983011211073887,"14459",287,53.1012287867693,56.452697718103,0.940632262641029,1,"KOR","PGA Tour",102,42.2817556199034,45.5696891390827,0.927848234620514,1,1
39,"Jordan Spieth",-0.970382013424682,"14636",258,52.2342485204944,52.7079874616667,0.991012008540132,1,"USA","PGA Tour",82,38.8876853851513,38.8876853851513,1,1,1
40,"Keegan Bradley",-0.965950531996933,"13872",293,58.4769272294909,60.3448260505084,0.96904624732112,1,"USA","PGA Tour",102,47.2266254787174,49.0945242997349,0.96195301110133,1,1
41,"Kevin Kisner",-0.921951219348379,"11328",274,54.6785664620917,54.6785664620917,1,1,"USA","PGA Tour",87,43.9590520891421,43.9590520891421,1,1,1
42,"Aaron Wise",-0.902739751667161,"22051",237,47.3026441113676,50.3640018559787,0.939215359546579,1,"USA","PGA Tour",73,35.8080647224651,35.8080647224651,1,1,1
43,"Cameron Smith",-0.891734909913045,"15856",266,51.3802602797098,53.8714046815548,0.953757574791847,1,"AUS","PGA Tour",92,41.9305100322389,43.7984088532564,0.957352358911582,1,1
44,"Ryan Moore",-0.881642314625316,"7489",250,51.4211474761433,51.4211474761433,1,1,"USA","PGA Tour",80,37.6150035156637,37.6150035156637,1,1,1
45,"Tyrrell Hatton",-0.845768365498519,"14796",266,53.1479077571848,53.1479077571848,1,1,"ENG","European Tour",86,39.0414501340517,39.0414501340517,1,1,1
46,"Chez Reavie",-0.836346354388932,"7961",265,53.4940646145147,53.4940646145147,1,1,"USA","PGA Tour",88,42.8222944465908,42.8222944465908,1,1,1
47,"Haotong Li",-0.822616769018637,"15310",269,55.5290449739508,55.5479730005852,0.999659249012844,1,"CHN","European Tour",96,45.1050675262897,45.1050675262897,1,1,1
48,"Zach Johnson",-0.811988636244346,"6986",256,50.9582562908559,50.9582562908559,1,1,"USA","PGA Tour",83,40.7839430546301,40.7839430546301,1,1,1
