"Rank","Player_Name","Player_Value","Player_ID","Num_Rounds","Sum_Primary","Sum_Weight","Primary_Ratio","Primary_Player","Country","Tour","Num_Rounds_Yr","Sum_Primary_Yr","Sum_Weight_Yr","Primary_Ratio_Yr","Primary_Player_Yr","Tour_Yr"
1,"Dustin Johnson",-2.61809180262309,"12422",254,55.8921245267758,55.8921245267758,1,1,"USA","PGA Tour",94,47.0220845607055,47.0220845607055,1,1,"PGA Tour"
2,"Rory McIlroy",-2.33734601545772,"10091",229,50.532799713117,50.532799713117,1,1,"NIR","PGA Tour",88,41.8378345442548,41.8378345442548,1,1,"PGA Tour"
3,"Justin Thomas",-2.2395321861562,"14139",269,55.042272031262,55.1338424163035,0.998339125643555,1,"USA","PGA Tour",94,45.2764573138405,45.2764573138405,1,1,"PGA Tour"
4,"Justin Rose",-2.11491919654657,"6093",252,48.2482697988922,51.2094090487388,0.942175875393753,1,"ENG","PGA Tour",84,37.2796176435192,39.73663225737,0.938167517621098,1,"PGA Tour"
5,"Jon Rahm",-2.08319499737023,"19195",249,57.8109239984766,57.8109239984766,1,1,"ESP","PGA Tour",94,47.6560996159782,47.6560996159782,1,1,"PGA Tour"
6,"Jason Day",-1.95128454064736,"9771",215,42.8165290416467,43.2766299855549,0.989368374014756,1,"AUS","PGA Tour",78,35.6759443343206,35.6759443343206,1,1,"PGA Tour"
7,"Tiger Woods",-1.94155570643807,"5321",98,35.1631788976351,35.1631788976351,1,1,"USA","PGA Tour",70,31.4334265771949,31.4334265771949,1,1,"PGA Tour"
8,"Rickie Fowler",-1.87583074658105,"12965",261,55.985102335868,55.985102335868,1,1,"USA","PGA Tour",86,41.6614453782377,41.6614453782377,1,1,"PGA Tour"
9,"Paul Casey",-1.77296467129371,"7108",258,49.7347000733654,52.5959056857177,0.945600221632284,1,"ENG","PGA Tour",88,40.0826998099784,42.9439054223307,0.933373418551157,1,"PGA Tour"
10,"Patrick Cantlay",-1.75435480125053,"15466",160,44.2840473044603,44.2840473044603,1,1,"USA","PGA Tour",84,37.3757002193119,37.3757002193119,1,1,"PGA Tour"
11,"Tommy Fleetwood",-1.75294112912872,"12294",305,65.6890607461317,65.6890607461317,1,1,"ENG","European Tour",112,53.7889596704722,53.7889596704722,1,1,"PGA Tour"
12,"Bryson DeChambeau",-1.74880773349273,"19841",270,58.3758192677125,58.5140366449307,0.997637876565295,1,"USA","PGA Tour",102,48.5385499202324,48.5385499202324,1,1,"PGA Tour"
13,"Tony Finau",-1.72211197646121,"11676",302,61.959262693545,61.959262693545,1,1,"USA","PGA Tour",100,46.5114383198771,46.5114383198771,1,1,"PGA Tour"
14,"Xander Schauffele",-1.61455617603027,"19895",298,54.4946016115133,55.8377625951866,0.975945293628419,1,"USA","PGA Tour",101,45.1917872566802,45.1917872566802,1,1,"PGA Tour"
15,"Webb Simpson",-1.56905032267673,"11049",265,51.0914663070318,51.0914663070318,1,1,"USA","PGA Tour",90,41.1490557945006,41.1490557945006,1,1,"PGA Tour"
16,"Sergio Garcia",-1.5122237616156,"5689",243,49.4152849041204,52.9839968653772,0.932645474626531,1,"ESP","PGA Tour",81,40.0883324235476,42.9495380358999,0.933382156288602,1,"PGA Tour"
17,"Gary Woodland",-1.49491118293227,"12577",282,60.7175276790395,60.7175276790395,1,1,"USA","PGA Tour",99,49.8237457404704,49.8237457404704,1,1,"PGA Tour"
18,"Brooks Koepka",-1.48004880349403,"16243",242,50.2356633991631,52.9487090715026,0.948760872173942,1,"USA","PGA Tour",96,43.8789798036718,46.0541571753788,0.952769141699332,1,"PGA Tour"
19,"Francesco Molinari",-1.47218661872859,"7655",258,45.9236520650227,45.9236520650227,1,1,"ITA","PGA Tour",84,36.0886560121598,36.0886560121598,1,1,"PGA Tour"
20,"Marc Leishman",-1.46219161348161,"7649",283,54.9139873581803,54.9139873581803,1,1,"AUS","PGA Tour",94,44.0217274401145,44.0217274401145,1,1,"PGA Tour"
21,"Hideki Matsuyama",-1.45179197383599,"13562",264,53.7286409032437,58.1000156073304,0.924761212912047,1,"JPN","PGA Tour",100,45.7955779364895,49.5531968461133,0.92417000014564,1,"PGA Tour"
22,"Matt Kuchar",-1.42047751875118,"6169",310,58.3610245601033,60.7337540997057,0.9609322760502,1,"USA","PGA Tour",94,42.1783596941678,44.3535370658748,0.95095819824975,1,"PGA Tour"
23,"Charles Howell III",-1.37359777900658,"6892",265,58.3724333076379,58.3724333076379,1,1,"USA","PGA Tour",98,47.3964600608367,47.3964600608367,1,1,"PGA Tour"
24,"Louis Oosthuizen",-1.37042843249099,"7672",232,49.6787711459336,50.2658267660773,0.988320979522018,1,"RSA","PGA Tour",84,41.8301944996245,41.8301944996245,1,1,"PGA Tour"
25,"Lucas Glover",-1.23919478969396,"7399",242,47.1466425350004,52.7922446678719,0.893060009696703,1,"USA","PGA Tour",69,31.7306331196761,37.3762352525476,0.848952092292744,1,"PGA Tour"
26,"Jim Furyk",-1.22986323332977,"2881",183,41.027735214004,41.027735214004,1,1,"USA","PGA Tour",64,31.8208031022286,31.8208031022286,1,0,"PGA Tour"
27,"Adam Scott",-1.22790393470788,"6430",235,42.5771121362096,44.6963493737202,0.952585898687362,1,"AUS","PGA Tour",82,34.4747821825929,36.3426810036104,0.948603163843858,1,"PGA Tour"
28,"Ian Poulter",-1.21455335507437,"1435",270,59.1117363622986,59.1903709676803,0.998671496662446,1,"ENG","PGA Tour",100,47.8403175988739,47.8403175988739,1,1,"PGA Tour"
29,"Phil Mickelson",-1.1845343535261,"1547",245,46.4746675797445,46.4746675797445,1,1,"USA","PGA Tour",80,36.5589714855859,36.5589714855859,1,1,"PGA Tour"
30,"Rafael Cabrera Bello",-1.16389981254381,"7457",314,63.0523698404655,63.0523698404655,1,1,"ESP","PGA Tour",104,50.7930572683708,50.7930572683708,1,1,"PGA Tour"
31,"Henrik Stenson",-1.14648518813159,"5994",224,43.8945495024414,46.3515641162922,0.946991764772246,1,"SWE","PGA Tour",74,34.3983659521504,36.8553805660012,0.933333625209739,1,"PGA Tour"
32,"Jason Kokrak",-1.13548086322676,"12337",286,64.1784489276387,64.1784489276387,1,1,"USA","PGA Tour",96,48.4900578788429,48.4900578788429,1,1,"PGA Tour"
33,"Byeong Hun An",-1.13015145660113,"14459",292,59.77619847631,63.6790005442748,0.938711317159394,1,"KOR","PGA Tour",104,44.8848319694526,48.7136467372139,0.921401598438815,1,"PGA Tour"
34,"Bubba Watson",-1.11081744924791,"7334",237,51.5258981768922,51.5258981768922,1,1,"USA","PGA Tour",82,42.4761394098037,42.4761394098037,1,1,"PGA Tour"
35,"Patrick Reed",-1.09883857769042,"14838",338,66.7909645963191,66.7909645963191,1,1,"USA","PGA Tour",106,53.5012397198635,53.5012397198635,1,1,"PGA Tour"
36,"Matthew Fitzpatrick",-1.07204489868883,"17646",277,53.8766217694887,56.737827381841,0.949571463265651,1,"ENG","European Tour",100,43.7717041672464,46.6329097795987,0.938644068622884,1,"European Tour"
37,"Cameron Smith",-1.06162002920565,"15856",266,53.6372938971584,56.538243815632,0.948690484127284,1,"AUS","PGA Tour",94,44.2457540938682,46.4209314655751,0.953142315265258,1,"PGA Tour"
38,"Ryan Moore",-1.0490460934356,"7489",246,51.0076993880694,51.0076993880694,1,1,"USA","PGA Tour",86,38.5541990350002,38.5541990350002,1,1,"PGA Tour"
39,"Keegan Bradley",-1.02362137897674,"13872",297,61.8040173145493,63.9791946862563,0.966001801329734,1,"USA","PGA Tour",103,50.1803360768032,52.3555134485102,0.958453709486658,1,"PGA Tour"
40,"Tyrrell Hatton",-1.02220055730765,"14796",266,53.1838455959247,53.1838455959247,1,1,"ENG","European Tour",92,43.5110573613932,43.5110573613932,1,1,"PGA Tour"
