"Rank","Player_Name","Player_Value","Player_ID","Num_Rounds","Sum_Primary","Sum_Weight","Primary_Ratio","Primary_Player","Country","Tour","Num_Rounds_Yr","Sum_Primary_Yr","Sum_Weight_Yr","Primary_Ratio_Yr","Primary_Player_Yr","Tour_Yr"
1,"Rory McIlroy",-2.28834285039219,"10091",249,47.3317420805402,53.7756413821022,0.880170665826653,1,"NIR","PGA Tour",88,33.5322701421883,39.9761694437503,0.838806484182306,1,"PGA Tour"
2,"Jon Rahm",-2.18274081090261,"19195",270,47.0141074236857,55.0083246999448,0.854672591469285,1,"ESP","PGA Tour",87,35.6246997204488,43.6189169967079,0.816725910988059,1,"PGA Tour"
3,"Justin Thomas",-1.87459689280072,"14139",249,49.155680581752,49.155680581752,1,1,"USA","PGA Tour",76,37.6201927811662,37.6201927811662,1,1,"PGA Tour"
4,"Webb Simpson",-1.55043057879845,"11049",258,45.1726616758494,45.1726616758494,1,1,"USA","PGA Tour",78,34.9567001529669,34.9567001529669,1,1,"PGA Tour"
5,"Patrick Cantlay",-1.46350695296911,"15466",228,41.9151399840298,45.1470713631543,0.928413266208842,1,"USA","PGA Tour",74,32.1053905002722,35.3373218793968,0.908540568236755,1,"PGA Tour"
6,"Xander Schauffele",-1.42249925776667,"19895",279,52.4566865082142,54.3719835038084,0.964774193027921,1,"USA","PGA Tour",76,36.426745647755,38.238607504142,0.952616949866945,1,"PGA Tour"
7,"Hideki Matsuyama",-1.38686880359157,"13562",275,60.5090596142679,63.3831236295683,0.954655689863166,1,"JPN","PGA Tour",101,46.0820985347249,47.9818521021353,0.960406831245978,1,"PGA Tour"
8,"Dustin Johnson",-1.31402524551959,"12422",232,40.7144547650485,44.1493908678485,0.922197429335283,1,"USA","PGA Tour",70,29.8489513818309,33.2838874846309,0.896798830834105,1,"PGA Tour"
9,"Tommy Fleetwood",-1.30713892145308,"12294",314,48.9545878931077,64.4193212073609,0.759936413106971,1,"ENG","PGA Tour",104,33.7970806041877,49.2618139184409,0.686070566953603,1,"PGA Tour"
10,"Patrick Reed",-1.25008834603596,"14838",336,59.9948358352542,72.234042383688,0.830561794071799,1,"USA","PGA Tour",116,43.1010616271567,55.3402681755904,0.778837238200587,1,"PGA Tour"
11,"Bryson DeChambeau",-1.2484516791745,"19841",280,50.6757878889854,55.6236415982637,0.911047648677631,1,"USA","PGA Tour",84,35.0695655637667,40.017419273045,0.876357501329151,1,"PGA Tour"
12,"Tiger Woods",-1.21836822035149,"5321",128,26.3675045989557,26.3675045989557,1,1,"USA","PGA Tour",40,19.1010358410797,19.1010358410797,1,0,"PGA Tour"
13,"Rickie Fowler",-1.1880740442738,"12965",250,46.4446354220012,46.4446354220012,1,1,"USA","PGA Tour",74,32.3997223322813,32.3997223322813,1,1,"PGA Tour"
14,"Adam Scott",-1.16558568560921,"6430",223,39.2760458330598,46.0913919755735,0.852134078612216,1,"AUS","PGA Tour",72,28.5588052377245,34.9412424021149,0.817338001581645,1,"PGA Tour"
15,"Collin Morikawa",-1.14218488824871,"22085",83,44.3637390727768,46.2634926401872,0.958936226839041,1,"USA","PGA Tour",75,40.1901395125136,42.089893079924,0.954864376495256,1,"PGA Tour"
16,"Gary Woodland",-1.12381690595227,"12577",268,51.0055579151048,52.9053114825151,0.964091439702832,1,"USA","PGA Tour",79,38.6043586842749,40.5041122516853,0.953097266874888,1,"PGA Tour"
17,"Tyrrell Hatton",-1.02769940771868,"14796",252,37.6118245019759,47.5861155857054,0.790394930097515,1,"ENG","European Tour",80,23.3520125491325,33.3263036328621,0.700708149526244,1,"PGA Tour"
18,"Sungjae Im",-0.998083018842672,"17488",378,68.8026462993374,78.7510316634057,0.873672951910151,1,"KOR","PGA Tour",127,57.6150548312536,59.7249768818094,0.964672702096961,1,"PGA Tour"
19,"Matt Kuchar",-0.995416317405711,"6169",295,53.2294797245594,57.917251860394,0.919060867267422,1,"USA","PGA Tour",90,41.8631780332396,46.0010403405576,0.910048505931946,1,"PGA Tour"
20,"Paul Casey",-0.973892377470414,"7108",260,46.0163181553181,56.6970433264644,0.811617598652436,1,"ENG","PGA Tour",90,36.1565376341,46.1741425206212,0.783047300076068,1,"PGA Tour"
21,"Louis Oosthuizen",-0.9471548927304,"7672",236,36.5357463695974,54.0527244398065,0.675927934220668,1,"RSA","PGA Tour",92,27.5043177498651,44.8852383175166,0.61276978313673,1,"PGA Tour"
22,"Justin Rose",-0.935865083258901,"6093",268,39.2964608446766,54.1517989097915,0.725672307029697,1,"ENG","PGA Tour",90,28.0883147705073,42.2573716771848,0.664696209340262,1,"PGA Tour"
23,"Marc Leishman",-0.929952787697856,"7649",270,49.2867909396984,51.9788993003607,0.9482076689407,1,"AUS","PGA Tour",76,34.1629006823999,36.8550090430622,0.926954071357932,1,"PGA Tour"
24,"Tony Finau",-0.927295313883127,"11676",308,55.6057144354896,62.6515824182552,0.887538866365287,1,"USA","PGA Tour",100,41.3883585792353,48.4342265620009,0.854527087910733,1,"PGA Tour"
25,"Brooks Koepka",-0.920901323548529,"16243",238,38.194528183592,45.4689554407196,0.840013319272054,1,"USA","PGA Tour",70,24.1043419394551,30.7712094213796,0.783340739370081,1,"PGA Tour"
26,"Jason Day",-0.871332650050923,"9771",212,36.3671193628432,36.4737535269744,0.997076413754556,1,"AUS","PGA Tour",64,27.9614881303741,27.9614881303741,1,0,"PGA Tour"
27,"Matthew Fitzpatrick",-0.773083360834033,"17646",298,48.1121227500349,66.349898399469,0.7251273010302,1,"ENG","European Tour",106,33.6374155097443,51.2120708745533,0.656825918876449,1,"PGA Tour"
28,"Billy Horschel",-0.767387812565123,"11276",276,59.5528231845869,61.4784920722338,0.968677356539839,1,"USA","PGA Tour",97,44.449847297322,46.3755161849689,0.958476604767775,1,"PGA Tour"
29,"Scottie Scheffler",-0.747119980262382,"18417",146,36.7568195867381,57.720609863387,0.636805807730272,1,"USA","PGA Tour",110,31.9167519114509,49.909305536445,0.639495011369063,1,"PGA Tour"
30,"Daniel Berger",-0.70569842644805,"17606",242,47.1280283014825,48.8855343021779,0.964048546757582,1,"USA","PGA Tour",88,39.1225253563874,40.8800313570828,0.957008203214334,1,"PGA Tour"
31,"Shane Lowry",-0.694045824884656,"13900",267,34.8910536133345,56.2909813654387,0.61983381293041,1,"IRL","PGA Tour",86,24.1829733490212,45.5829011011253,0.530527297842922,1,"European Tour(3)"
32,"Viktor Hovland",-0.672414338119924,"18841",90,33.2365118502393,43.972577299889,0.755846345406804,1,"NOR","PGA Tour",76,28.4953666223472,38.7273074360011,0.735795192305514,1,"PGA Tour"
33,"Abraham Ancer",-0.672050995281984,"18238",309,57.0869548975727,64.716438896027,0.882109026259746,1,"MEX","PGA Tour",100,42.5854035516069,48.7124480150692,0.874220148788932,1,"PGA Tour"
34,"Byeong Hun An",-0.669872630157931,"14459",294,59.7727655120726,60.6601413537854,0.9853713522272,1,"KOR","PGA Tour",93,44.865274912478,44.865274912478,1,1,"PGA Tour"
35,"Brandt Snedeker",-0.655268103271609,"8820",240,50.7010409772573,51.2051656132531,0.990154808993229,1,"USA","PGA Tour",93,40.6921178207166,40.6921178207166,1,1,"PGA Tour"
36,"Henrik Stenson",-0.582840540368594,"5994",244,31.9386432665202,49.4225309777449,0.646236496485828,1,"SWE","PGA Tour",88,22.1277073172839,39.0421510769692,0.566764553358253,1,"PGA Tour"
37,"Sergio Garcia",-0.551653969430472,"5689",249,36.7542008780861,55.3457163138441,0.664083931440461,1,"ESP","PGA Tour",88,27.3272711328717,45.1196087814471,0.605662856370078,1,"PGA Tour"
38,"Bud Cauley",-0.495471741377872,"14502",227,49.8310359696957,49.8310359696957,1,1,"USA","PGA Tour",82,38.3892035411347,38.3892035411347,1,1,"PGA Tour"
39,"Kevin Na",-0.476948579055466,"7452",247,49.3564581719822,50.9681968788518,0.968377560801286,1,"USA","PGA Tour",75,35.9563541992572,37.2523815273326,0.965209544331429,1,"PGA Tour"
40,"Ian Poulter",-0.461747556870246,"1435",292,38.3269809019979,54.6804199973988,0.700926966248999,1,"ENG","PGA Tour",82,22.5341840108497,38.8876231062507,0.579469306963831,1,"PGA Tour"
41,"Adam Hadwin",-0.457710761616827,"13965",266,46.3059436479234,46.3059436479234,1,1,"CAN","PGA Tour",79,35.6131978142072,35.6131978142072,1,1,"PGA Tour"
42,"Harris English",-0.42058428324316,"14577",269,54.549190245166,58.8127240522529,0.927506608887919,1,"USA","PGA Tour",101,40.5750607043429,44.8385945114298,0.904913750006146,1,"PGA Tour"
43,"Ryan Moore",-0.385172114063746,"7489",232,42.686612408766,42.686612408766,1,1,"USA","PGA Tour",72,30.2215974289592,30.2215974289592,1,1,"PGA Tour"
44,"Joaquin Niemann",-0.381174107100704,"18079",194,52.8105869146768,53.9348564583506,0.979155047079026,1,"CHI","PGA Tour",100,42.4707041775722,43.4559844052401,0.977326938023542,1,"PGA Tour"
45,"Joel Dahmen",-0.379365039852662,"14509",270,57.6740414130736,57.9495168311584,0.995246286196181,1,"USA","PGA Tour",98,43.7440949103219,43.7440949103219,1,1,"PGA Tour"
46,"Vaughn Taylor",-0.372207876794877,"6930",267,61.1023880312882,61.1023880312882,1,1,"USA","PGA Tour",98,47.2659702837776,47.2659702837776,1,1,"PGA Tour"
47,"Bubba Watson",-0.369433011141604,"7334",227,45.2524048439904,45.2524048439904,1,1,"USA","PGA Tour",72,34.1318903114727,34.1318903114727,1,1,"PGA Tour"
48,"Brendon Todd",-0.358573289941693,"12425",119,43.2698964127298,48.6248744976859,0.889871631746609,1,"USA","PGA Tour",78,36.7550374556341,41.8709616730582,0.877816892352011,1,"PGA Tour"
49,"Ryan Palmer",-0.354803469197808,"7820",198,45.1776852939997,45.1776852939997,1,1,"USA","PGA Tour",70,36.5045492112042,36.5045492112042,1,1,"PGA Tour"
50,"Jason Kokrak",-0.344084583249764,"12337",287,53.4510319610426,53.4510319610426,1,1,"USA","PGA Tour",87,38.3578680394874,38.3578680394874,1,1,"PGA Tour"
51,"Erik van Rooyen",-0.340309456026271,"17550",291,38.0106565560049,64.9483554755307,0.585244326476063,1,"RSA","European Tour",113,29.0667891400735,54.46847244098,0.533644287006014,1,"European Tour(3)"
52,"JT Poston",-0.34009646895639,"21554",275,60.6649951171292,61.008130011429,0.994375587413751,1,"USA","PGA Tour",100,48.2189954549572,48.2189954549572,1,1,"PGA Tour"
53,"Jim Furyk",-0.323242127485651,"2881",169,34.3038328761207,34.3038328761207,1,1,"USA","PGA Tour",67,27.7182366695605,27.7182366695605,1,1,"PGA Tour"
54,"Kevin Kisner",-0.322370277545607,"11328",277,58.1226841664582,58.1226841664582,1,1,"USA","PGA Tour",99,46.2025009948518,46.2025009948518,1,1,"PGA Tour"
55,"Matthias Schwab",-0.317661512152471,"15016",262,28.7858325565859,57.5213927665527,0.500436988259508,1,"AUT","European Tour",89,19.2078311784836,42.5468563355756,0.451451243001071,0,"European Tour(3)"
56,"Nick Taylor",-0.312003786679988,"13126",286,56.9877294666098,56.9877294666098,1,1,"CAN","PGA Tour",92,41.3638873631352,41.3638873631352,1,1,"PGA Tour"
57,"Charles Howell III",-0.308674392239617,"6892",277,57.4286731833912,57.4286731833912,1,1,"USA","PGA Tour",93,43.9081973231035,43.9081973231035,1,1,"PGA Tour"
58,"Rafael Cabrera Bello",-0.302475933338026,"7457",312,47.516209006695,66.3002523885874,0.716682173820416,1,"ESP","PGA Tour",108,33.4774578110822,52.2615011929745,0.640575893284568,1,"PGA Tour"
