"Rank","Player_Name","Player_Value","Player_ID","Num_Rounds","Sum_Primary","Sum_Weight","Primary_Ratio","Primary_Player","Country","Tour","Num_Rounds_Yr","Sum_Primary_Yr","Sum_Weight_Yr","Primary_Ratio_Yr","Primary_Player_Yr","Tour_Yr"
1,"Dustin Johnson",-2.63569164734618,"12422",252,58.7034438049147,58.7034438049147,1,1,"USA","PGA Tour",82,44.2018967499264,44.2018967499264,1,1,"PGA Tour"
2,"Justin Rose",-2.29121876608715,"6093",254,57.7388892458991,59.0349165739745,0.978046427380797,1,"ENG","PGA Tour",94,43.871877005638,45.1679043337133,0.971306454280014,1,"PGA Tour"
3,"Justin Thomas",-2.22352361705748,"14139",269,61.0140029798036,61.2494164331093,0.996156478428448,1,"USA","PGA Tour",90,46.806823914034,46.806823914034,1,1,"PGA Tour"
4,"Brooks Koepka",-2.0076840390672,"16243",238,53.1365521187484,54.5193292471626,0.974636937990461,1,"USA","PGA Tour",70,38.438000442032,39.5853641171406,0.971015457336369,1,"PGA Tour"
5,"Rickie Fowler",-1.99158776085654,"12965",263,57.9322263339166,57.9322263339166,1,1,"USA","PGA Tour",86,46.072510195076,46.072510195076,1,1,"PGA Tour"
6,"Tiger Woods",-1.93236168751085,"5321",70,42.1062502127263,42.1062502127263,1,1,"USA","PGA Tour",60,37.696431159645,37.696431159645,1,0,"PGA Tour"
7,"Rory McIlroy",-1.90485391029019,"10091",235,56.1032385725423,56.1032385725423,1,1,"NIR","PGA Tour",79,42.8568707220955,42.8568707220955,1,1,"PGA Tour"
8,"Jason Day",-1.87471134650607,"9771",207,49.2123649561889,50.3952141057854,0.976528542033504,1,"AUS","PGA Tour",74,38.2167451523793,39.3995943019759,0.969978138847556,1,"PGA Tour"
9,"Patrick Cantlay",-1.84350874362466,"15466",120,51.6598909589444,51.6598909589444,1,1,"USA","PGA Tour",80,42.7647428419278,42.7647428419278,1,1,"PGA Tour"
10,"Francesco Molinari",-1.80782412400201,"7655",262,60.6786095970454,60.6786095970454,1,1,"ITA","PGA Tour",94,49.753192691548,49.753192691548,1,1,"PGA Tour"
11,"Tony Finau",-1.78450966100062,"11676",299,69.0062829852343,69.0545845788786,0.99930053024084,1,"USA","PGA Tour",98,51.8743996433335,51.8743996433335,1,1,"PGA Tour"
12,"Jon Rahm",-1.77560859980689,"19195",201,57.9111196223247,57.9111196223247,1,1,"ESP","PGA Tour",88,43.5923658937682,43.5923658937682,1,1,"PGA Tour"
