"Rank","Player_Name","Player_Value","Player_ID","Num_Rounds","Sum_Primary","Sum_Weight","Primary_Ratio","Primary_Player","Country","Tour","Num_Rounds_Yr","Sum_Primary_Yr","Sum_Weight_Yr","Primary_Ratio_Yr","Primary_Player_Yr","Tour_Yr"
1,"Dustin Johnson",-2.65869257556421,"12422",254,56.3866259169642,56.3866259169642,1,1,"USA","PGA Tour",90,42.9754304578222,42.9754304578222,1,1,1
2,"Rory McIlroy",-2.45552574887525,"10091",227,54.4256360335141,54.4256360335141,1,1,"NIR","PGA Tour",84,40.7067395201593,40.7067395201593,1,1,1
3,"Patrick Cantlay",-2.36457973901918,"15466",176,47.563704980654,47.563704980654,1,1,"USA","PGA Tour",84,39.4478109978676,39.4478109978676,1,1,1
4,"Tiger Woods",-2.10285720427002,"5321",108,35.5724601567598,35.5724601567598,1,1,"USA","PGA Tour",64,29.8856254636899,29.8856254636899,1,0,1
5,"Justin Thomas",-2.01379236873411,"14139",263,50.8042949507515,50.873909601513,0.998631623728021,1,"USA","PGA Tour",84,36.6441813755977,36.6441813755977,1,1,1
6,"Justin Rose",-1.96906357265295,"6093",256,52.8756357700572,55.1267857967916,0.959164134200883,1,"ENG","PGA Tour",86,41.719042364729,43.5869411857465,0.957145448379656,1,1
7,"Rickie Fowler",-1.94523692292389,"12965",266,58.4475777838957,58.4475777838957,1,1,"USA","PGA Tour",90,47.4353672323612,47.4353672323612,1,1,1
8,"Jon Rahm",-1.92335474282245,"19195",257,50.7917793909112,50.7917793909112,1,1,"ESP","PGA Tour",86,40.3058337010083,40.3058337010083,1,1,1
9,"Webb Simpson",-1.87159249492602,"11049",267,56.1596511291107,56.1596511291107,1,1,"USA","PGA Tour",88,41.6507214583435,41.6507214583435,1,1,1
10,"Brooks Koepka",-1.8672763925065,"16243",244,52.4152040548155,54.4777456384763,0.962139740558499,1,"USA","PGA Tour",96,41.4814513700377,43.1350887660919,0.961663753492628,1,1
11,"Jason Day",-1.86426747563122,"9771",210,44.5720268764228,44.9218099040981,0.992213514361464,1,"AUS","PGA Tour",76,36.4312013323505,36.4312013323505,1,1,1
12,"Adam Scott",-1.73495718321024,"6430",231,42.9150775851402,44.5261875537531,0.963816574983701,1,"AUS","PGA Tour",69,32.3464899291641,33.7665246273259,0.957945488502759,1,1
13,"Matt Kuchar",-1.68700719898938,"6169",300,60.1160576669442,61.919880356737,0.970868440323196,1,"USA","PGA Tour",86,42.4641571738002,44.1177945698545,0.962517677681373,1,1
14,"Paul Casey",-1.67780761121001,"7108",252,46.3461598150663,48.5213371867733,0.955170704316452,1,"ENG","PGA Tour",84,36.7027057531956,38.8778831249026,0.944051033727356,1,1
15,"Tommy Fleetwood",-1.6691972867193,"12294",305,63.3799733238405,63.3799733238405,1,1,"ENG","European Tour",110,51.1796240021267,51.1796240021267,1,1,1
16,"Xander Schauffele",-1.62925675219564,"19895",299,57.2078854909548,58.1033907349548,0.98458772831202,1,"USA","PGA Tour",96,46.1556104007947,46.1556104007947,1,1,1
17,"Hideki Matsuyama",-1.59347501885405,"13562",270,58.3846748832531,61.7079297023168,0.946145417046152,1,"JPN","PGA Tour",103,49.3960694965111,52.2527280981948,0.945329962555918,1,1
18,"Tony Finau",-1.57937093217101,"11676",298,62.857960966947,62.857960966947,1,1,"USA","PGA Tour",106,51.4732046306534,51.4732046306534,1,1,1
19,"Bryson DeChambeau",-1.53607944021688,"19841",264,56.5695243403607,56.6746014833678,0.998145957090887,1,"USA","PGA Tour",92,44.9718036690402,44.9718036690402,1,1,1
20,"Gary Woodland",-1.49402580412481,"12577",275,56.6781280771444,56.6781280771444,1,1,"USA","PGA Tour",101,46.7194990785445,46.7194990785445,1,1,1
21,"Jordan Spieth",-1.38331752939923,"14636",256,57.4240481247558,57.8434458031926,0.992749434743846,1,"USA","PGA Tour",84,46.6165898705812,46.6165898705812,1,1,1
22,"Sergio Garcia",-1.36168789417349,"5689",237,46.2793384824525,48.992384154792,0.944623113997318,1,"ESP","PGA Tour",79,35.5595494126001,37.7347267843071,0.942356085307299,1,1
23,"Marc Leishman",-1.35552501265133,"7649",274,53.6453979651283,53.6453979651283,1,1,"AUS","PGA Tour",90,42.3216924951852,42.3216924951852,1,1,1
24,"Francesco Molinari",-1.34657767974817,"7655",250,46.9133017000567,46.9133017000567,1,1,"ITA","PGA Tour",76,35.6974383489866,35.6974383489866,1,1,1
25,"Henrik Stenson",-1.24608565088382,"5994",236,54.9218645568167,56.7897633778342,0.967108529602598,1,"SWE","PGA Tour",82,41.6458901356448,43.5137889566623,0.957073404412614,1,1
26,"Louis Oosthuizen",-1.22500335363201,"7672",232,48.3441363868858,48.7904343024767,0.990852757882331,1,"RSA","PGA Tour",80,39.5583813827848,39.5583813827848,1,1,1
27,"Jim Furyk",-1.16521735882871,"2881",187,46.1802806764249,46.1802806764249,1,1,"USA","PGA Tour",66,35.840400196866,35.840400196866,1,0,1
28,"Lucas Glover",-1.15648287083994,"7399",237,48.280068981202,52.5720310674174,0.918360352471232,1,"USA","PGA Tour",74,37.4085014146183,41.7004635008337,0.897076393740094,1,1
29,"Ian Poulter",-1.1507502242916,"1435",264,56.7488069803165,56.8085874496126,0.99894768604572,1,"ENG","PGA Tour",94,44.7635237910351,44.7635237910351,1,1,1
30,"Charles Howell III",-1.09214822688613,"6892",260,56.2917979894608,56.2917979894608,1,1,"USA","PGA Tour",92,44.4716616184255,44.4716616184255,1,1,1
