"Rank","Player_Name","Player_Value","Player_ID","Num_Rounds","Sum_Primary","Sum_Weight","Primary_Ratio","Primary_Player","Country","Tour","Num_Rounds_Yr","Sum_Primary_Yr","Sum_Weight_Yr","Primary_Ratio_Yr","Primary_Player_Yr","Tour_Yr"
1,"Rory McIlroy",-2.46275150044264,"10091",237,62.4713673221613,62.4713673221613,1,1,"NIR","PGA Tour",88,47.5865225524214,47.5865225524214,1,1,"PGA Tour"
2,"Jon Rahm",-2.37136057302792,"19195",267,60.7266847448285,60.7266847448285,1,1,"ESP","PGA Tour",88,45.2878892887668,45.2878892887668,1,1,"PGA Tour"
3,"Justin Thomas",-2.10201757778799,"14139",257,55.3593002581025,55.4033838184786,0.999204316463404,1,"USA","PGA Tour",84,43.6052209873602,43.6052209873602,1,1,"PGA Tour"
4,"Patrick Cantlay",-2.09953093917236,"15466",204,51.9071192441403,51.9071192441403,1,1,"USA","PGA Tour",80,41.4610730839937,41.4610730839937,1,1,"PGA Tour"
5,"Brooks Koepka",-1.94810871560198,"16243",248,57.6464850277929,58.9525919382902,0.97784479244162,1,"USA","PGA Tour",94,47.3017591792199,48.3489270266723,0.978341445987524,1,"PGA Tour"
6,"Webb Simpson",-1.94110590924027,"11049",267,57.6993087599183,57.6993087599183,1,1,"USA","PGA Tour",82,44.9132488947283,44.9132488947283,1,1,"PGA Tour"
7,"Justin Rose",-1.88483897928127,"6093",254,56.3675828304318,57.7931262617867,0.975333685447339,1,"ENG","PGA Tour",84,41.1807783311072,42.3636274807038,0.972078662287942,1,"PGA Tour"
8,"Paul Casey",-1.87615250587167,"7108",260,58.6021385926766,59.9795722498935,0.977034953642582,1,"ENG","PGA Tour",86,43.8571700221454,45.2346036793623,0.969549116269912,1,"PGA Tour"
9,"Dustin Johnson",-1.77333418988348,"12422",246,55.9615019310741,55.9615019310741,1,1,"USA","PGA Tour",86,44.6249061949332,44.6249061949332,1,1,"PGA Tour"
10,"Adam Scott",-1.75353361166617,"6430",225,44.5570869342833,45.5773242377375,0.977615243533549,1,"AUS","PGA Tour",65,33.5718381348186,34.471076796045,0.973913241337167,1,"PGA Tour"
11,"Viktor Hovland",-1.71958763881245,"18841",58,30.2311699847239,38.2544451749763,0.790265545518858,1,"NOR","PGA Tour",52,25.9095566466807,33.9328318369332,0.763554211189656,0,"PGA Tour"
12,"Tiger Woods",-1.66928888297106,"5321",118,30.0930460247407,30.0930460247407,1,1,"USA","PGA Tour",44,21.4360161367464,21.4360161367464,1,0,"PGA Tour"
13,"Rickie Fowler",-1.62183738803582,"12965",252,55.292399337269,55.292399337269,1,1,"USA","PGA Tour",86,44.1297092013948,44.1297092013948,1,1,"PGA Tour"
14,"Tommy Fleetwood",-1.60212276016655,"12294",319,72.246397472302,72.246397472302,1,1,"ENG","European Tour",108,54.4742065801675,54.4742065801675,1,1,"PGA Tour"
15,"Hideki Matsuyama",-1.59165251616124,"13562",276,61.6154095410351,63.7198646070117,0.966973328035838,1,"JPN","PGA Tour",103,50.6577371278691,52.4667195843432,0.965521334842251,1,"PGA Tour"
16,"Xander Schauffele",-1.52992122197136,"19895",279,57.4198556500179,57.6692613503918,0.995675240248725,1,"USA","PGA Tour",90,45.1667520640383,45.1667520640383,1,1,"PGA Tour"
17,"Tony Finau",-1.51393594386173,"11676",298,65.579345032252,65.579345032252,1,1,"USA","PGA Tour",96,48.3478670558648,48.3478670558648,1,1,"PGA Tour"
18,"Henrik Stenson",-1.43451367170473,"5994",236,53.8966105286448,55.0794596782413,0.978524677683725,1,"SWE","PGA Tour",76,39.273034268219,40.4558834178155,0.970761999252854,1,"PGA Tour"
19,"Louis Oosthuizen",-1.4115543259971,"7672",234,55.0536440743648,55.3362627601221,0.994892703777587,1,"RSA","PGA Tour",88,45.6282873164786,45.6282873164786,1,1,"PGA Tour"
20,"Collin Morikawa",-1.40485603633909,"22085",38,24.025644934718,24.025644934718,1,1,"USA","PGA Tour",32,23.6461158486244,23.6461158486244,1,0,"PGA Tour"
