"Rank","Player_Name","Player_Value","Player_ID","Num_Rounds","Sum_Primary","Sum_Weight","Primary_Ratio","Primary_Player","Country","Tour","Num_Rounds_Yr","Sum_Primary_Yr","Sum_Weight_Yr","Primary_Ratio_Yr","Primary_Player_Yr","Tour_Yr"
1,"Rory McIlroy",-2.4625941911287,"10091",225,51.7840360520779,51.7840360520779,1,1,"NIR","PGA Tour",86,42.0825199048441,42.0825199048441,1,1,1
2,"Dustin Johnson",-2.42062867666192,"12422",248,55.4137327384715,55.4137327384715,1,1,"USA","PGA Tour",92,45.7020927887786,45.7020927887786,1,1,1
3,"Patrick Cantlay",-2.29632710288114,"15466",184,49.5220980363341,49.5220980363341,1,1,"USA","PGA Tour",84,40.8159079804796,40.8159079804796,1,1,1
4,"Jon Rahm",-2.12140386809328,"19195",261,56.432247788269,56.432247788269,1,1,"ESP","PGA Tour",88,42.0425469400248,42.0425469400248,1,1,1
5,"Tiger Woods",-2.07691817324598,"5321",112,35.1427352107909,35.1427352107909,1,1,"USA","PGA Tour",62,28.9376115088241,28.9376115088241,1,0,1
6,"Justin Rose",-2.04759014359831,"6093",254,50.4118319633414,52.4047588962407,0.961970497052659,1,"ENG","PGA Tour",86,39.8352196150285,41.4888570110828,0.960142613820079,1,1
7,"Webb Simpson",-1.8849543212372,"11049",265,53.3201525593942,53.3201525593942,1,1,"USA","PGA Tour",90,42.9298034300227,42.9298034300227,1,1,1
8,"Justin Thomas",-1.83678985910856,"14139",257,50.4680680316347,50.5296973814246,0.998780334081072,1,"USA","PGA Tour",82,39.2536105527233,39.2536105527233,1,1,1
9,"Adam Scott",-1.82728256810504,"6430",227,41.5780549023527,43.004358973685,0.966833500013218,1,"AUS","PGA Tour",71,31.9122866477507,33.1694331559838,0.962099246546626,1,1
10,"Paul Casey",-1.7722938902587,"7108",254,48.3949338473201,50.320602734967,0.96173199876422,1,"ENG","PGA Tour",84,38.3856860446782,40.3113549323251,0.9522301125606,1,1
11,"Rickie Fowler",-1.76602098088846,"12965",264,59.1921238849088,59.1921238849088,1,1,"USA","PGA Tour",90,47.9797513987097,47.9797513987097,1,1,1
12,"Brooks Koepka",-1.73251538240758,"16243",248,57.7549752102084,59.5809284445494,0.969353394080787,1,"USA","PGA Tour",96,45.4308770084526,46.8948303055266,0.968782202909445,1,1
13,"Jason Day",-1.72894023606291,"9771",214,50.8085401964598,51.1182005959207,0.993942267218896,1,"AUS","PGA Tour",78,38.5198454482965,38.5198454482965,1,1,1
14,"Xander Schauffele",-1.72249703945053,"19895",291,54.2964217004456,54.9915751626643,0.987358909793684,1,"USA","PGA Tour",94,43.3767779806233,43.3767779806233,1,1,1
15,"Matt Kuchar",-1.70264230872627,"6169",296,56.8059588937269,58.4028701515154,0.972656972959624,1,"USA","PGA Tour",92,44.4105559533995,45.8745092504735,0.968087870126723,1,1
16,"Bryson DeChambeau",-1.68132368593161,"19841",268,61.4308438500304,61.5238678892299,0.998488000797236,1,"USA","PGA Tour",92,45.7062589747614,45.7062589747614,1,1,1
17,"Hideki Matsuyama",-1.66357941235182,"13562",276,63.1689446802625,66.1109982773774,0.955498272998827,1,"JPN","PGA Tour",107,50.5116365369701,53.0406158576654,0.952319948028474,1,1
18,"Gary Woodland",-1.60236978998525,"12577",275,55.7196294691281,55.7196294691281,1,1,"USA","PGA Tour",99,45.4059984692278,45.4059984692278,1,1,1
19,"Tommy Fleetwood",-1.5714441321427,"12294",309,67.4565654974853,67.4565654974853,1,1,"ENG","European Tour",108,50.8039529207858,50.8039529207858,1,1,1
20,"Tony Finau",-1.40959444194345,"11676",300,63.306572097983,63.306572097983,1,1,"USA","PGA Tour",104,48.1636786308073,48.1636786308073,1,1,1
21,"Marc Leishman",-1.34538048242745,"7649",270,54.8086221027319,54.8086221027319,1,1,"AUS","PGA Tour",88,42.9501485033992,42.9501485033992,1,1,1
